subID,partnerID,avg_connection
100,101,59.804833333333335
100,102,39.71783333333333
100,103,54.393166666666666
100,104,40.060833333333335
100,105,26.0395
100,106,28.467333333333332
100,107,61.60916666666667
100,108,57.76733333333333
100,109,43.7505
100,110,55.788
101,100,65.76083333333334
101,102,60.24316666666667
101,103,62.877833333333335
101,105,73.57683333333334
101,106,49.32266666666667
101,107,80.21633333333334
101,108,52.5955
101,109,10.701666666666666
101,110,76.1345
102,100,53.239
102,101,44.133
102,103,57.535833333333336
102,104,57.862833333333334
102,105,56.215833333333336
102,106,56.160833333333336
102,107,60.967166666666664
102,108,57.099
102,109,64.9835
102,110,59.37083333333333
103,100,63.80533333333333
103,101,67.3675
103,102,57.22233333333333
103,104,57.98566666666667
103,105,51.815333333333335
103,106,55.18516666666667
103,107,61.05433333333333
103,108,47.318333333333335
103,109,68.55483333333333
103,110,67.32716666666667
104,100,45.238166666666665
104,102,39.105333333333334
104,103,36.934333333333335
104,105,17.7705
104,106,53.713166666666666
104,107,57.78033333333333
104,108,46.68483333333333
104,109,19.660666666666668
104,110,53.995666666666665
105,100,40.39116666666666
105,101,43.16883333333333
105,102,41.865
105,103,30.038666666666668
105,104,44.82333333333333
105,106,50.540166666666664
105,107,54.49666666666667
105,108,25.22833333333333
105,109,35.3885
105,110,48.579166666666666
106,100,38.065333333333335
106,101,43.723
106,102,46.3765
106,103,48.93366666666667
106,104,56.9845
106,105,56.461166666666664
106,107,77.78166666666667
106,108,57.577333333333335
106,109,83.64266666666667
106,110,61.628166666666665
107,100,73.37133333333334
107,101,68.5345
107,102,69.059
107,103,51.712
107,104,63.78483333333333
107,105,53.0155
107,106,68.0895
107,108,68.14633333333333
107,109,78.07483333333333
107,110,83.441
108,100,83.161
108,101,71.435
108,102,67.838
108,103,66.47666666666667
108,104,79.193
108,105,71.42483333333334
108,106,64.78816666666667
108,107,83.1265
108,109,38.016
108,110,75.48583333333333
109,100,82.97316666666667
109,101,13.358333333333333
109,102,89.63216666666666
109,103,77.425
109,104,38.07366666666667
109,105,49.03333333333333
109,106,67.71216666666666
109,107,81.57516666666666
109,108,46.29083333333333
109,110,84.04066666666667
10,1,30.855666666666668
10,11,47.107166666666664
10,2,68.47733333333333
10,3,65.54433333333333
10,4,58.05383333333333
10,5,55.67733333333333
10,6,43.67783333333333
10,7,82.3985
10,8,81.393
10,9,38.60366666666667
110,100,11.909333333333333
110,101,66.6935
110,102,10.104666666666667
110,103,12.761
110,104,25.7895
110,105,4.0785
110,106,33.21183333333333
110,107,16.9925
