subID,partnerID,avg_connection
101,203,75.18783333333333
101,204,87.89133333333334
101,207,71.81816666666667
107,233,94.133
107,234,91.6545
107,259,95.31533333333333
110,219,77.423
110,220,81.51333333333334
110,221,18.138
11,240,87.88766666666666
11,241,90.268
11,248,59.01733333333333
201,25,61.29116666666667
202,30,92.33216666666667
203,101,76.374
204,101,58.253
205,67,60.50183333333333
206,49,91.60366666666667
207,101,43.52466666666667
208,25,80.652
209,25,70.00883333333333
210,67,49.82533333333333
211,21,48.348333333333336
212,21,59.245
213,21,74.54433333333333
214,67,57.089
215,30,83.527
216,4,81.85033333333334
217,63,52.75083333333333
218,63,97.30166666666666
219,110,72.1345
21,211,64.45533333333333
21,212,76.3965
21,213,84.24383333333333
220,110,78.14083333333333
221,110,77.957
222,5,81.04133333333333
223,5,77.61883333333333
224,63,91.7535
225,49,71.759
226,49,86.99083333333333
227,86,60.57966666666667
228,5,78.74766666666666
229,50,43.938
230,50,52.957166666666666
231,50,85.85933333333334
232,48,56.3255
233,107,78.81966666666666
234,107,81.509
235,8,65.06766666666667
236,48,81.34283333333333
237,29,67.83783333333334
238,29,75.3575
239,86,84.912
23,254,84.091
23,257,84.091
23,260,82.727
240,11,87.7945
241,11,56.36983333333333
242,29,69.391
243,8,85.98766666666667
244,8,83.2155
245,30,85.061
246,44,59.787166666666664
247,66,83.79716666666667
248,11,57.473333333333336
249,66,71.36183333333334
250,66,79.978
251,86,82.59716666666667
252,44,49.074666666666666
253,44,72.20533333333333
254,23,70.597
255,85,60.76833333333333
256,85,68.99483333333333
257,23,60.435
258,4,68.39183333333334
259,107,84.7835
25,201,82.125
25,208,80.23133333333334
25,209,81.552
260,23,55.092
261,85,64.6165
262,68,81.99316666666667
263,68,81.8615
264,68,71.90383333333334
265,4,47.4425
29,237,80.81933333333333
29,238,81.047
29,242,82.28633333333333
30,202,89.54633333333334
30,215,96.606
30,245,92.50383333333333
44,246,64.9375
44,252,63.838
44,253,65.18266666666666
48,232,91.82633333333334
48,236,99.26433333333334
49,206,84.55383333333333
49,225,83.4355
49,226,78.25733333333334
4,216,77.317
4,258,85.09816666666667
4,265,76.59866666666667
50,229,96.70033333333333
50,230,98.96633333333334
50,231,99.92416666666666
5,222,83.22883333333333
5,223,82.20166666666667
5,228,92.54483333333333
63,217,68.38516666666666
63,218,82.67433333333334
63,224,82.37066666666666
66,247,69.14816666666667
66,249,87.174
66,250,73.21833333333333
67,205,84.192
67,210,70.94033333333333
67,214,79.26783333333333
68,262,55.83116666666667
68,263,61.316833333333335
68,264,57.31933333333333
85,255,84.94066666666667
85,256,89.55633333333333
85,261,74.58866666666667
86,227,75.38466666666666
86,239,66.29766666666667
86,251,81.57833333333333
8,235,83.3845
8,243,68.86683333333333
8,244,97.3325
