subID,partnerID,convo_flow,convo_enjoy,friends,speak,knew_before,know_now,common,similar,attractive,attracted_to,extraverted,fun,disclosed,comfortable_self,convo_order,round_robin_num,dyad,factor_1,factor_2,factor_3,factor_4
1,2,66,58,63,10,58,69,44,58,74,45,70,62,57,57,1,1,14,-1.0454095592990738,1.4142776473672403,1.2729217852939843,0.6614941410888654
1,4,100,87,94,67,0,65,58,37,55,49,36,60,55,88,2,1,34,0.34972052558947486,1.244862693673481,-0.7573851801035105,-0.0674690950590575
1,3,88,74,79,65,0,71,58,72,88,53,57,70,37,62,3,1,23,-0.16110645367389848,1.2380621273353918,0.993579849908537,-0.38374873933996156
1,5,96,93,100,80,78,74,82,88,63,52,61,73,79,92,4,1,42,0.7506558673445467,1.7817394509309388,0.29551832346037654,-1.0959747276064487
1,6,90,87,89,44,66,68,28,27,64,53,90,65,92,61,5,1,54,-0.20371980065260115,1.2669362971298648,0.38777540715485614,1.439496029402382
1,10,81,68,84,68,0,68,32,60,62,45,31,65,66,70,6,1,97,-0.3519258296350647,1.3048304902988193,0.14664570938304805,-0.19500702209801943
1,7,94,77,63,28,0,56,13,67,54,44,73,69,85,87,7,1,65,0.11254576832375743,0.4819074600943054,-0.17485690572811982,1.364011090796552
1,11,82,79,64,60,0,58,33,61,57,38,41,62,29,64,8,1,108,-0.05046159058589931,0.6104880063728753,-0.3511001394212816,-0.12247102683840247
1,9,75,63,62,22,0,79,63,70,60,46,46,46,76,86,9,1,86,-0.6768554293440487,2.111032623648333,-0.047305445540765725,-0.0993762381450827
1,8,92,97,100,41,0,87,40,78,60,56,100,89,77,72,10,1,79,0.46964369865919775,1.7628607562437293,0.790217228213001,0.9270784138415435
2,6,77,80,80,62,62,65,65,41,70,70,74,74,61,74,1,1,51,-0.2208069350724208,1.2421441010585734,0.873942327544561,0.4731940751884863
2,8,67,81,66,82,0,20,34,34,34,27,34,70,62,70,2,1,70,0.24665910360382853,-0.9544670487687309,-0.8629530011019481,0.08737217405032599
2,7,77,72,78,59,0,16,60,71,75,76,37,72,59,71,3,1,61,0.28639021822579996,-0.9875690835702117,0.8834386098114878,-0.7520110596486351
2,10,36,61,64,73,0,10,67,58,41,37,40,54,35,22,4,1,93,-0.6223436207530436,-1.0320959611640947,0.5972490702590353,-1.808807859152742
2,1,91,91,91,77,58,65,42,58,44,30,41,71,41,79,5,1,14,0.5071373203169038,1.083398633572939,-0.6225701740422133,-0.4222633704170394
2,3,36,17,23,64,0,8,19,21,57,57,33,20,11,19,6,1,22,-2.3915304522269247,-0.9886458842083112,0.7399304589518854,-0.7341690272829289
2,4,73,84,80,50,0,24,64,81,40,36,34,72,60,78,7,1,35,0.733570155716912,-0.6285738109760637,-0.3023780990978473,-1.0215566174848039
2,11,59,38,39,61,0,9,59,39,24,20,38,56,42,64,8,1,106,-0.8180277945706208,-1.0305757916294311,-0.23181385833585696,-0.36054418765970697
2,5,98,83,83,68,71,71,59,59,41,27,61,80,60,76,9,1,46,0.3528389244401324,1.4233669486281204,-0.21271969302693067,0.18402245122205504
2,9,77,76,67,78,8,22,65,63,44,27,19,78,65,78,10,1,84,0.5307859687839366,-0.7396556519444841,-0.4767155604198211,-0.6663629349769312
3,6,80,85,70,38,0,34,51,48,61,27,66,64,65,58,1,1,50,0.22947659673906187,-0.38790727897797134,-0.0345182176623976,0.3604748294878644
3,4,81,96,73,47,3,39,59,66,64,25,50,80,50,69,2,1,33,0.7621756844624697,-0.35163477769718265,-0.11174878517856326,0.0006754950494866551
3,2,65,69,72,42,10,36,55,42,60,45,61,70,60,70,3,1,22,-0.2828771542350221,-0.11550036011114602,0.6134750020526728,0.36228976807418356
3,1,64,72,39,49,17,34,41,39,41,27,61,51,48,80,4,1,23,-0.3145370412152306,-0.2389615970266839,-0.7650001829567911,0.4627645270637972
3,8,72,78,74,47,15,37,47,43,48,25,52,54,45,63,5,1,75,-0.045318253328257056,-0.0627227550113585,-0.3530719729655766,-0.25188763936649866
3,11,52,57,72,58,1,23,41,44,41,9,44,46,31,71,6,1,105,-0.5283071712771409,-0.5459177459286205,-0.1641497256513368,-0.9909029762176461
3,5,59,80,64,52,6,28,63,53,46,13,46,60,32,65,7,1,47,0.12182742905326205,-0.5312065122782116,-0.3766172664015241,-0.7191976483795637
3,7,60,65,68,52,17,51,60,58,56,21,54,73,57,75,8,1,67,-0.36611970993609905,0.5475063151780479,0.5053853249161409,-0.07515700318335837
3,9,77,70,71,53,13,33,55,55,59,14,48,68,36,66,9,1,89,0.05430693125888308,-0.383595896190078,0.15628167403760887,-0.34965483269328884
3,10,63,61,76,53,8,27,59,56,41,12,54,58,35,77,10,1,99,-0.157537175215986,-0.39268769266659276,0.07110777500115788,-0.9065869409753181
4,10,82,88,86,65,25,63,87,70,71,5,84,80,49,83,1,1,94,0.5454746412954237,0.8751953687972804,0.571779383951188,-0.4166129278389798
4,11,79,69,53,45,0,52,77,36,56,4,55,48,53,86,2,1,103,-0.274522388475279,0.7136268193555967,-0.7070326166723104,0.11019658740131226
4,5,68,59,44,43,0,45,31,35,53,1,79,71,40,83,3,1,41,-0.5668306004219382,-0.07644511211767918,0.07485276238227785,1.3785155696833526
4,3,74,69,67,54,0,53,44,52,78,3,39,56,11,86,4,1,33,-0.22065579541582875,0.38255331473212245,-0.075612931689266,-0.4198553616411969
4,1,100,100,100,50,0,60,87,82,95,2,96,100,58,100,5,1,34,1.3083025824548047,0.36165399152496996,1.0561469733416553,0.21055113477083043
4,2,100,100,100,47,4,54,93,94,100,4,98,100,63,97,6,1,35,1.416359131822665,0.1225344378445482,1.3104639114419103,-0.10276897807448862
4,8,92,88,62,46,0,52,63,33,78,5,71,44,53,95,7,1,76,0.24643642158807663,0.44471084163645375,-0.8147613667142901,0.41270742933981025
