num_bins,bin_size,beta_self,p-val_self,beta_partner,p-val_partner
2.0,300.0,-0.08039382111827602,0.023311683112955697,-0.1654057918617158,3.618968698208933e-10
3.0,200.0,-0.06595384282354734,0.008887576678842291,-0.12229618828864161,1.4320358393021459e-07
4.0,150.0,-0.0399965462610916,0.07267718413627648,-0.09326033134905141,4.124417311900013e-07
5.0,120.0,-0.03713455464349301,0.059448987111729655,-0.06713400968684825,6.465974641832749e-05
6.0,100.0,-0.03087091321008775,0.09172329236014672,-0.060221454945188005,0.00012546728059893272
10.0,60.0,-0.01937220627091335,0.17360013071557948,-0.03913649141839009,0.0003852503608887168
12.0,50.0,-0.019001946802790274,0.10849178392930463,-0.028525161722685828,0.0018022230838247231
15.0,40.0,-0.013608507340688568,0.18892713071748374,-0.03455407780055444,0.00014950020246052673
20.0,30.0,-0.010384896730122403,0.279137594647856,-0.030926562265893704,4.241211500200035e-05
24.0,25.0,-0.012998418258993567,0.13369978864540272,-0.02241097908535951,0.001376433105218811
30.0,20.0,-0.012395713105696931,0.1089231379749706,-0.024227291499500578,0.0001373154826195814
40.0,15.0,-0.013376295320276612,0.06671343929904898,-0.02205832170087288,0.00021383402110819756
60.0,10.0,-0.017802360015177567,0.008080685547656542,-0.01752390224170586,0.0017794276644947002
120.0,5.0,-0.017956932059847653,0.003717833335725381,-0.016609202985095994,0.0011228142688202696
