condition,convo,subID,enjoy,connected,timingFirstClick,timingLastClick,timingPageSubmit,timingClickCount,comments
long,A,370,67,73,11.238,20.954,22.778,5,
long,A,371,62,84,3.689,7.626,9.865,3,
long,A,376,59,64,20.41,27.421,29.278,2,
long,A,380,54,18,64.324,80.682,82.337,4,Seeme to be new to each other
long,A,383,31,31,22.908,36.586,62.887,4,
long,A,384,51,39,19.1,22.675,23.622,6,
long,A,387,76,57,23.22,24.806,29.049,2,
long,A,391,64,72,26.625,28.903,31.436,2,
long,A,396,60,20,25.317,33.767,34.606,3,
long,A,399,89,81,2.952,5.226,19.392,3,Very exciting in the audio
long,A,401,42,18,2.696,40.392,47.23,4,
long,A,404,80,87,708.123,712.213,720.328,6,
long,A,407,74,57,13.774,15.794,52.43,2,
long,A,408,67,65,8.151,17.865,21.781,2,
long,A,414,73,62,7.755,27.259,27.969,5,Audio was a bit low.
long,A,415,92,94,17.787,20.139,21.901,2,
long,A,420,26,2,5.451,19.659,22.149,4,
long,A,422,55,55,4.076,16.783,19.594,3,
long,A,425,32,8,22.69,24.637,25.523,5,
long,A,426,83,70,44.561,46.239,47.103,2,
long,A,429,12,10,8.2,9.9,20.22,3,
long,A,431,92,74,17.397,19.685,21.459,3,
long,A,436,71,67,13.712,18.901,27.416,3,the audio quality wasn't great
long,A,437,62,63,23.983,25.318,26.891,2,
long,A,442,78,97,2.966,21.596,21.909,8,well speech 
long,A,444,64,63,7.641,15.838,17.498,4,
long,A,445,79,79,18.622,20.172,20.985,3,
long,A,446,79,35,161.013,163.725,164.997,3,
long,A,447,65,67,14.117,19.39,23.421,4,
long,B,2,35,33,8.139,20.55,21.887,4,
long,B,3,43,41,4.569,24.78,28.003,2,
long,B,7,25,65,27.677,29.486,33.245,2,
long,B,10,51,51,27.378,28.964,30.583,2,
long,B,12,53,58,4.779,51.928,52.914,6,
long,B,14,51,51,35.566,39.033,40.157,5,
long,B,18,28,82,26.491,33.223,33.69,5,no comments
long,B,19,65,35,27.845,29.42,30.265,2,
long,B,21,86,93,4.298,6.028,7.711,2,
long,B,26,62,52,18.98,30.401,32.596,4,
long,B,34,31,17,12.664,25.785,28.189,10,
long,B,37,63,58,27.538,29.474,30.74,2,
long,B,38,75,76,21.379,28.36,29.646,3,
long,B,40,70,85,2.423,41.85,48.709,5,good
long,B,41,79,78,21.351,23.569,24.895,2,
long,B,45,63,51,6.712,32.8,35.762,6,
long,B,48,82,78,14.823,23.571,27.298,4,
long,B,57,65,94,32.084,39.375,41.714,2,
long,B,58,85,100,3.486,5.867,7.264,3,
long,B,63,69,50,8.438,11.599,12.593,6,
long,B,66,80,78,31.316,34.987,36.011,2,
long,B,67,81,89,16.641,41.03,44.908,4,Good
long,B,71,52,44,25.802,33.916,35.301,3,
long,B,72,96,95,79.474,82.191,88.09,4,VERY WELL
long,B,79,80,57,19.675,21.753,34.656,2,
long,B,81,79,86,29.787,56.521,57.565,6,they both seemed to have easy conversation
long,B,84,40,34,32.927,36.031,38.323,2,
long,B,86,82,85,32.125,64.611,67.375,5,very nice
long,B,87,75,88,5.923,8.486,35.541,4, no
long,B,88,71,69,17.611,20.331,31.834,3,good voice
long,B,100,72,68,39.781,44.804,50.397,5,good
long,B,105,59,62,64.245,66.299,67.194,3,
long,B,106,24,23,24.067,43.451,44.306,4,
long,B,108,79,77,4.821,10.07,31.094,14,
long,B,109,69,60,11.411,18.573,27.114,4,
