turn_num,speaker,turn_start,turn_end,gap_length,turn_start_msec,turn_end_msec,number_of_words
0,S1,00:00.000,00:00.981,0.0,0.0,981.0,3.0
1,S2,00:01.423,00:02.287,442.0,1423.0,2287.0,3.0
2,S1,00:02.699,00:03.272,412.0,2699.0,3272.0,1.0
3,S2,00:03.251,00:03.789,-21.0,3251.0,3789.0,3.0
4,S1,00:04.043,00:04.387,254.0,4043.0,4387.0,1.0
5,S2,00:04.851,00:05.197,464.0,4851.0,5197.0,1.0
6,S1,00:05.375,00:06.056,178.0,5375.0,6056.0,2.0
7,S2,00:06.321,00:06.726,265.0,6321.0,6726.0,2.0
8,S1,00:06.600,00:07.063,-126.0,6600.0,7063.0,4.0
9,S2,00:07.381,00:09.875,318.0,7381.0,9875.0,10.0
10,S1,00:09.736,00:10.899,-139.0,9736.0,10899.0,5.0
11,S2,00:10.796,00:11.102,-103.0,10796.0,11102.0,1.0
12,S1,00:11.619,00:13.300,517.0,11619.0,13300.0,4.0
13,S2,00:13.348,00:14.782,48.0,13348.0,14782.0,2.0
14,S1,00:14.397,00:14.644,-385.0,14397.0,14644.0,1.0
15,S2,00:15.167,00:15.432,523.0,15167.0,15432.0,1.0
16,S1,00:15.520,00:17.495,88.0,15520.0,17495.0,3.0
17,S2,00:18.288,00:23.753,793.0,18288.0,23753.0,23.0
18,S1,00:22.654,00:27.580,-1099.0,22654.0,27580.0,13.0
19,S2,00:27.781,00:36.171,201.0,27781.0,36171.0,18.0
20,S1,00:34.059,00:37.772,-2112.0,34059.0,37772.0,3.0
21,S2,00:36.987,00:38.175,-785.0,36987.0,38175.0,3.0
22,S1,00:37.821,00:39.184,-354.0,37821.0,39184.0,5.0
23,S2,00:38.831,00:40.299,-353.0,38831.0,40299.0,6.0
24,S1,00:40.541,00:41.015,242.0,40541.0,41015.0,1.0
25,S2,00:41.023,00:43.260,8.0,41023.0,43260.0,5.0
26,S1,00:43.399,00:43.838,139.0,43399.0,43838.0,3.0
27,S2,00:44.068,00:46.952,230.0,44068.0,46952.0,9.0
28,S1,00:46.249,00:48.853,-703.0,46249.0,48853.0,6.0
29,S2,00:49.572,00:49.825,719.0,49572.0,49825.0,1.0
30,S1,00:50.287,00:57.362,462.0,50287.0,57362.0,17.0
31,S2,00:57.697,01:03.454,335.0,57697.0,63454.0,14.0
32,S1,01:03.759,01:04.007,305.0,63759.0,64007.0,1.0
33,S2,01:04.190,01:04.496,183.0,64190.0,64496.0,1.0
34,S1,01:04.458,01:05.512,-38.0,64458.0,65512.0,4.0
35,S2,01:05.713,01:06.482,201.0,65713.0,66482.0,2.0
36,S1,01:06.374,01:08.956,-108.0,66374.0,68956.0,7.0
37,S2,01:08.969,01:09.624,13.0,68969.0,69624.0,3.0
38,S1,01:09.802,01:10.131,178.0,69802.0,70131.0,2.0
39,S2,01:10.276,01:10.716,145.0,70276.0,70716.0,3.0
40,S1,01:10.935,01:11.534,219.0,70935.0,71534.0,3.0
41,S2,01:11.789,01:12.391,255.0,71789.0,72391.0,2.0
42,S1,01:12.730,01:13.390,339.0,72730.0,73390.0,3.0
43,S2,01:12.594,01:15.337,-796.0,72594.0,75337.0,8.0
44,S1,01:14.722,01:15.648,-615.0,74722.0,75648.0,3.0
45,S2,01:15.885,01:17.424,237.0,75885.0,77424.0,7.0
46,S1,01:17.527,01:17.955,103.0,77527.0,77955.0,3.0
47,S2,01:18.203,01:18.259,248.0,78203.0,78259.0,1.0
48,S1,01:18.670,01:19.807,411.0,78670.0,79807.0,6.0
