turn_num,speaker,turn_start,turn_end,gap_length,turn_start_msec,turn_end_msec,number_of_words
0,S1,00:00.000,00:01.002,0.0,0.0,1002.0,3.0
1,S2,00:01.223,00:01.311,221.0,1223.0,1311.0,1.0
2,S1,00:02.150,00:02.857,839.0,2150.0,2857.0,3.0
3,S2,00:03.027,00:03.409,170.0,3027.0,3409.0,4.0
4,S1,00:03.143,00:04.713,-266.0,3143.0,4713.0,5.0
5,S2,00:04.795,00:04.888,82.0,4795.0,4888.0,1.0
6,S1,00:05.007,00:06.262,119.0,5007.0,6262.0,4.0
7,S2,00:06.530,00:09.114,268.0,6530.0,9114.0,7.0
8,S1,00:09.381,00:11.010,267.0,9381.0,11010.0,5.0
9,S2,00:10.864,00:11.010,-146.0,10864.0,11010.0,1.0
10,S1,00:11.781,00:12.051,771.0,11781.0,12051.0,1.0
11,S2,00:12.220,00:14.021,169.0,12220.0,14021.0,14.0
12,S1,00:13.942,00:15.201,-79.0,13942.0,15201.0,8.0
13,S2,00:15.481,00:16.870,280.0,15481.0,16870.0,5.0
14,S1,00:17.412,00:18.657,542.0,17412.0,18657.0,8.0
15,S2,00:19.196,00:30.134,539.0,19196.0,30134.0,36.0
16,S1,00:30.376,00:32.378,242.0,30376.0,32378.0,9.0
17,S2,00:32.359,00:33.060,-19.0,32359.0,33060.0,2.0
18,S1,00:35.252,00:36.076,2192.0,35252.0,36076.0,5.0
19,S2,00:36.320,00:36.686,244.0,36320.0,36686.0,1.0
20,S1,00:37.547,00:38.157,861.0,37547.0,38157.0,2.0
21,S2,00:38.273,00:41.310,116.0,38273.0,41310.0,10.0
22,S1,00:42.198,00:44.624,888.0,42198.0,44624.0,11.0
23,S2,00:44.919,00:46.095,295.0,44919.0,46095.0,7.0
24,S1,00:46.358,00:48.035,263.0,46358.0,48035.0,5.0
25,S2,00:48.135,00:48.857,100.0,48135.0,48857.0,4.0
26,S1,00:49.301,01:13.103,444.0,49301.0,73103.0,94.0
27,S2,01:13.042,01:13.965,-61.0,73042.0,73965.0,3.0
28,S1,01:14.250,01:17.639,285.0,74250.0,77639.0,10.0
29,S2,01:17.713,01:39.332,74.0,77713.0,99332.0,65.0
30,S1,01:38.899,01:39.285,-433.0,98899.0,99285.0,1.0
31,S2,01:40.121,01:41.116,836.0,100121.0,101116.0,6.0
32,S1,01:41.135,01:42.860,19.0,101135.0,102860.0,6.0
33,S2,01:43.344,01:51.002,484.0,103344.0,111002.0,22.0
34,S1,01:50.799,01:51.017,-203.0,110799.0,111017.0,1.0
