turn_num,speaker,turn_start,turn_end,gap_length,turn_start_msec,turn_end_msec,number_of_words
0,S1,00:00.605,00:01.019,605.0,605.0,1019.0,2.0
1,S2,00:01.417,00:01.949,398.0,1417.0,1949.0,1.0
2,S1,00:02.031,00:02.310,82.0,2031.0,2310.0,1.0
3,S2,00:02.555,00:03.180,245.0,2555.0,3180.0,5.0
4,S1,00:03.350,00:04.530,170.0,3350.0,4530.0,7.0
5,S2,00:04.560,00:05.590,30.0,4560.0,5590.0,5.0
6,S1,00:05.699,00:06.244,109.0,5699.0,6244.0,3.0
7,S2,00:06.520,00:07.050,276.0,6520.0,7050.0,1.0
8,S1,00:07.159,00:07.583,109.0,7159.0,7583.0,3.0
9,S2,00:07.845,00:07.974,262.0,7845.0,7974.0,3.0
10,S1,00:08.136,00:08.509,162.0,8136.0,8509.0,3.0
11,S2,00:08.890,00:11.110,381.0,8890.0,11110.0,9.0
12,S1,00:11.173,00:13.030,63.0,11173.0,13030.0,11.0
13,S2,00:12.996,00:14.100,-34.0,12996.0,14100.0,4.0
14,S1,00:14.373,00:15.490,273.0,14373.0,15490.0,5.0
15,S2,00:15.537,00:16.557,47.0,15537.0,16557.0,6.0
16,S1,00:16.600,00:18.316,43.0,16600.0,18316.0,9.0
17,S2,00:18.336,00:21.355,20.0,18336.0,21355.0,18.0
18,S1,00:21.426,00:24.255,71.0,21426.0,24255.0,12.0
19,S2,00:24.372,00:27.895,117.0,24372.0,27895.0,13.0
20,S1,00:29.208,00:29.591,1313.0,29208.0,29591.0,2.0
21,S2,00:29.817,00:31.834,226.0,29817.0,31834.0,8.0
22,S1,00:32.021,00:34.997,187.0,32021.0,34997.0,8.0
23,S2,00:35.223,00:38.314,226.0,35223.0,38314.0,12.0
24,S1,00:38.504,00:39.401,190.0,38504.0,39401.0,6.0
25,S2,00:39.588,00:40.485,187.0,39588.0,40485.0,5.0
26,S1,00:40.654,00:41.440,169.0,40654.0,41440.0,4.0
27,S2,00:41.751,00:43.645,311.0,41751.0,43645.0,9.0
28,S1,00:43.712,00:52.975,67.0,43712.0,52975.0,36.0
29,S2,00:52.734,00:53.711,-241.0,52734.0,53711.0,5.0
30,S1,00:53.569,00:55.105,-142.0,53569.0,55105.0,9.0
31,S2,00:55.294,00:58.611,189.0,55294.0,58611.0,18.0
32,S1,00:58.799,00:59.938,188.0,58799.0,59938.0,3.0
33,S2,01:00.225,01:00.946,287.0,60225.0,60946.0,2.0
34,S1,01:01.345,01:01.911,399.0,61345.0,61911.0,3.0
35,S2,01:02.127,01:03.337,216.0,62127.0,63337.0,6.0
36,S1,01:03.824,01:10.497,487.0,63824.0,70497.0,27.0
37,S2,01:10.458,01:11.330,-39.0,70458.0,71330.0,2.0
38,S1,01:11.111,01:40.836,-219.0,71111.0,100836.0,110.0
39,S2,01:40.475,01:42.590,-361.0,100475.0,102590.0,7.0
40,S1,01:42.676,01:48.167,86.0,102676.0,108167.0,22.0
41,S2,01:47.904,01:52.318,-263.0,107904.0,112318.0,28.0
42,S1,01:52.420,01:56.453,102.0,112420.0,116453.0,17.0
43,S2,01:55.995,01:56.976,-458.0,115995.0,116976.0,5.0
44,S1,01:57.285,01:58.850,309.0,117285.0,118850.0,9.0
45,S2,01:59.035,02:03.081,185.0,119035.0,123081.0,9.0
46,S1,02:03.098,02:03.835,17.0,123098.0,123835.0,3.0
47,S2,02:03.875,02:05.063,40.0,123875.0,125063.0,7.0
48,S1,02:05.281,02:06.230,218.0,125281.0,126230.0,4.0
49,S2,02:05.996,02:06.274,-234.0,125996.0,126274.0,2.0
50,S1,02:06.630,02:07.358,356.0,126630.0,127358.0,3.0
51,S2,02:07.622,02:08.934,264.0,127622.0,128934.0,6.0
52,S1,02:08.776,02:09.239,-158.0,128776.0,129239.0,4.0
53,S2,02:09.197,02:14.754,-42.0,129197.0,134754.0,25.0
54,S1,02:14.973,02:17.028,219.0,134973.0,137028.0,12.0
55,S2,02:16.796,02:30.285,-232.0,136796.0,150285.0,51.0
56,S1,02:30.418,02:31.209,133.0,150418.0,151209.0,3.0
57,S2,02:31.539,02:38.102,330.0,151539.0,158102.0,22.0
58,S1,02:38.540,02:58.117,438.0,158540.0,178117.0,81.0
59,S2,02:59.248,03:05.004,1131.0,179248.0,185004.0,16.0
60,S1,03:05.126,03:06.260,122.0,185126.0,186260.0,6.0
61,S2,03:06.075,03:06.885,-185.0,186075.0,186885.0,6.0
62,S1,03:07.074,03:10.180,189.0,187074.0,190180.0,14.0
63,S2,03:08.661,03:11.384,-1519.0,188661.0,191384.0,10.0
64,S1,03:11.235,03:14.132,-149.0,191235.0,194132.0,16.0
65,S2,03:13.183,03:14.477,-949.0,193183.0,194477.0,3.0
66,S1,03:14.669,03:17.377,192.0,194669.0,197377.0,13.0
67,S2,03:17.749,03:34.061,372.0,197749.0,214061.0,47.0
68,S1,03:34.425,03:36.410,364.0,214425.0,216410.0,9.0
69,S2,03:36.107,03:42.690,-303.0,216107.0,222690.0,19.0
70,S1,03:42.511,03:45.693,-179.0,222511.0,225693.0,11.0
71,S2,03:45.474,03:50.476,-219.0,225474.0,230476.0,20.0
72,S1,03:50.750,03:53.730,274.0,230750.0,233730.0,11.0
73,S2,03:53.503,03:53.889,-227.0,233503.0,233889.0,2.0
74,S1,03:54.035,03:54.602,146.0,234035.0,234602.0,4.0
75,S2,03:54.876,03:55.418,274.0,234876.0,235418.0,2.0
76,S1,03:55.384,03:58.534,-34.0,235384.0,238534.0,15.0
77,S2,03:59.574,04:01.959,1040.0,239574.0,241959.0,13.0
78,S1,04:01.858,04:16.390,-101.0,241858.0,256390.0,59.0
79,S2,04:16.443,04:17.036,53.0,256443.0,257036.0,2.0
80,S1,04:17.063,04:22.710,27.0,257063.0,262710.0,17.0
81,S2,04:21.524,04:22.806,-1186.0,261524.0,262806.0,4.0
82,S1,04:23.130,04:24.319,324.0,263130.0,264319.0,6.0
83,S2,04:24.700,04:26.252,381.0,264700.0,266252.0,6.0
84,S1,04:26.479,04:28.238,227.0,266479.0,268238.0,6.0
85,S2,04:28.615,04:32.551,377.0,268615.0,272551.0,11.0
86,S1,04:32.889,04:33.418,338.0,272889.0,273418.0,3.0
87,S2,04:33.882,04:39.443,464.0,273882.0,279443.0,14.0
88,S1,04:39.799,04:40.718,356.0,279799.0,280718.0,3.0
89,S2,04:41.008,04:44.475,290.0,281008.0,284475.0,13.0
90,S1,04:45.008,04:52.568,533.0,285008.0,292568.0,29.0
91,S2,04:51.929,04:52.966,-639.0,291929.0,292966.0,3.0
92,S1,04:53.483,04:56.819,517.0,293483.0,296819.0,12.0
93,S2,04:55.499,05:07.005,-1320.0,295499.0,307005.0,40.0
94,S1,05:07.097,05:08.021,92.0,307097.0,308021.0,3.0
95,S2,05:08.346,05:15.926,325.0,308346.0,315926.0,34.0
96,S1,05:15.545,05:17.088,-381.0,315545.0,317088.0,6.0
97,S2,05:16.593,05:19.485,-495.0,316593.0,319485.0,17.0
98,S1,05:19.271,05:22.364,-214.0,319271.0,322364.0,14.0
99,S2,05:22.528,05:23.374,164.0,322528.0,323374.0,4.0
100,S1,05:23.425,05:24.173,51.0,323425.0,324173.0,5.0
101,S2,05:23.575,05:28.466,-598.0,323575.0,328466.0,21.0
102,S1,05:28.550,05:33.507,84.0,328550.0,333507.0,18.0
103,S2,05:33.290,05:33.741,-217.0,333290.0,333741.0,3.0
104,S1,05:33.852,05:40.569,111.0,333852.0,340569.0,34.0
105,S2,05:40.135,05:46.074,-434.0,340135.0,346074.0,31.0
106,S1,05:46.078,05:51.211,4.0,346078.0,351211.0,24.0
107,S2,05:50.810,05:51.542,-401.0,350810.0,351542.0,2.0
108,S1,05:51.788,05:55.181,246.0,351788.0,355181.0,12.0
109,S2,05:54.549,05:55.221,-632.0,354549.0,355221.0,2.0
110,S1,05:55.375,05:59.908,154.0,355375.0,359908.0,14.0
111,S2,05:59.658,06:00.468,-250.0,359658.0,360468.0,3.0
112,S1,06:00.542,06:01.020,74.0,360542.0,361020.0,3.0
113,S2,06:01.164,06:02.068,144.0,361164.0,362068.0,3.0
114,S1,06:02.186,06:03.576,118.0,362186.0,363576.0,4.0
115,S2,06:03.707,06:04.551,131.0,363707.0,364551.0,4.0
116,S1,06:04.839,06:05.633,288.0,364839.0,365633.0,3.0
117,S2,06:05.886,06:06.784,253.0,365886.0,366784.0,3.0
118,S1,06:06.997,06:07.673,213.0,366997.0,367673.0,3.0
119,S2,06:07.926,06:08.696,253.0,367926.0,368696.0,3.0
120,S1,06:08.791,06:09.297,95.0,368791.0,369297.0,5.0
