turn_num,speaker,turn_start,turn_end,gap_length,turn_start_msec,turn_end_msec,number_of_words
0,S1,00:00.000,00:00.970,0.0,0.0,970.0,2.0
1,S2,00:01.043,00:01.978,73.0,1043.0,1978.0,4.0
2,S1,00:02.423,00:03.123,445.0,2423.0,3123.0,5.0
3,S2,00:03.200,00:05.230,77.0,3200.0,5230.0,9.0
4,S1,00:05.005,00:05.844,-225.0,5005.0,5844.0,4.0
5,S2,00:05.953,00:09.216,109.0,5953.0,9216.0,9.0
6,S1,00:10.229,00:23.292,1013.0,10229.0,23292.0,42.0
7,S2,00:23.419,00:29.120,127.0,23419.0,29120.0,17.0
8,S1,00:28.739,00:30.000,-381.0,28739.0,30000.0,5.0
9,S2,00:30.360,00:43.047,360.0,30360.0,43047.0,37.0
10,S1,00:43.373,00:45.428,326.0,43373.0,45428.0,7.0
11,S2,00:46.055,01:17.322,627.0,46055.0,77322.0,81.0
12,S1,01:17.457,01:17.906,135.0,77457.0,77906.0,1.0
13,S2,01:18.254,01:18.993,348.0,78254.0,78993.0,3.0
14,S1,01:19.049,01:19.939,56.0,79049.0,79939.0,4.0
15,S2,01:19.984,01:31.459,45.0,79984.0,91459.0,42.0
16,S1,01:34.069,01:35.966,2610.0,94069.0,95966.0,9.0
17,S2,01:36.120,02:28.566,154.0,96120.0,148566.0,147.0
18,S1,02:28.845,02:29.157,279.0,148845.0,149157.0,2.0
19,S2,02:29.338,02:44.881,181.0,149338.0,164881.0,49.0
20,S1,02:45.331,02:45.541,450.0,165331.0,165541.0,1.0
21,S2,02:46.522,02:54.787,981.0,166522.0,174787.0,27.0
22,S1,02:55.137,02:55.197,350.0,175137.0,175197.0,1.0
23,S2,02:55.466,02:57.053,269.0,175466.0,177053.0,8.0
24,S1,02:58.691,03:36.189,1638.0,178691.0,216189.0,104.0
25,S2,03:36.929,03:52.665,740.0,216929.0,232665.0,62.0
26,S1,03:52.976,03:53.175,311.0,232976.0,233175.0,1.0
27,S2,03:53.647,03:56.380,472.0,233647.0,236380.0,8.0
28,S1,03:57.702,03:58.707,1322.0,237702.0,238707.0,7.0
29,S2,04:00.407,04:28.887,1700.0,240407.0,268887.0,76.0
30,S1,04:29.406,04:29.620,519.0,269406.0,269620.0,1.0
31,S2,04:30.407,04:40.634,787.0,270407.0,280634.0,35.0
32,S1,04:40.892,04:42.682,258.0,280892.0,282682.0,6.0
33,S2,04:42.889,04:49.231,207.0,282889.0,289231.0,25.0
34,S1,04:49.428,05:07.678,197.0,289428.0,307678.0,43.0
35,S2,05:08.799,05:14.593,1121.0,308799.0,314593.0,17.0
36,S1,05:14.882,05:15.199,289.0,314882.0,315199.0,1.0
37,S2,05:15.572,05:41.349,373.0,315572.0,341349.0,72.0
38,S1,05:41.671,05:42.959,322.0,341671.0,342959.0,6.0
39,S2,05:47.084,06:26.974,4125.0,347084.0,386974.0,105.0
40,S1,06:27.723,06:31.964,749.0,387723.0,391964.0,12.0
41,S2,06:32.480,07:15.884,516.0,392480.0,435884.0,117.0
42,S1,07:16.929,07:22.795,1045.0,436929.0,442795.0,11.0
43,S2,07:23.226,07:27.515,431.0,443226.0,447515.0,14.0
44,S1,07:26.109,07:29.492,-1406.0,446109.0,449492.0,6.0
45,S2,07:29.764,07:29.798,272.0,449764.0,449798.0,1.0
46,S1,07:31.902,07:39.538,2104.0,451902.0,459538.0,31.0
47,S2,07:40.812,08:18.530,1274.0,460812.0,498530.0,110.0
48,S1,08:19.140,08:19.457,610.0,499140.0,499457.0,2.0
49,S2,08:19.605,08:34.577,148.0,499605.0,514577.0,51.0
50,S1,08:34.992,08:35.330,415.0,514992.0,515330.0,2.0
51,S2,08:38.965,08:40.419,3635.0,518965.0,520419.0,6.0
52,S1,08:40.752,08:41.405,333.0,520752.0,521405.0,3.0
53,S2,08:41.653,08:42.545,248.0,521653.0,522545.0,3.0
54,S1,08:42.519,08:56.606,-26.0,522519.0,536606.0,48.0
55,S2,08:57.675,09:01.404,1069.0,537675.0,541404.0,12.0
56,S1,09:02.521,09:17.264,1117.0,542521.0,557264.0,37.0
57,S2,09:18.481,09:34.943,1217.0,558481.0,574943.0,50.0
58,S1,09:35.441,09:35.560,498.0,575441.0,575560.0,1.0
59,S2,09:35.893,09:44.775,333.0,575893.0,584775.0,26.0
60,S1,09:44.064,09:44.626,-711.0,584064.0,584626.0,2.0
61,S2,09:46.205,09:47.401,1579.0,586205.0,587401.0,5.0
62,S1,09:47.752,09:47.941,351.0,587752.0,587941.0,1.0
63,S2,09:48.027,10:00.000,86.0,588027.0,600000.0,43.0
