turn_num,speaker,turn_start,turn_end,gap_length,turn_start_msec,turn_end_msec,number_of_words
0,S1,00:00.220,00:01.272,220.0,220.0,1272.0,4.0
1,S2,00:00.830,00:01.490,-442.0,830.0,1490.0,1.0
2,S1,00:01.711,00:02.186,221.0,1711.0,2186.0,2.0
3,S2,00:02.296,00:02.857,110.0,2296.0,2857.0,4.0
4,S1,00:03.227,00:04.616,370.0,3227.0,4616.0,5.0
5,S2,00:04.787,00:06.579,171.0,4787.0,6579.0,3.0
6,S1,00:06.883,00:07.905,304.0,6883.0,7905.0,7.0
7,S2,00:07.777,00:09.900,-128.0,7777.0,9900.0,6.0
8,S1,00:09.615,00:09.932,-285.0,9615.0,9932.0,1.0
9,S2,00:09.839,00:11.004,-93.0,9839.0,11004.0,4.0
10,S1,00:11.073,00:13.318,69.0,11073.0,13318.0,9.0
11,S2,00:14.469,00:17.689,1151.0,14469.0,17689.0,10.0
12,S1,00:17.767,00:19.942,78.0,17767.0,19942.0,9.0
13,S2,00:20.277,00:21.332,335.0,20277.0,21332.0,2.0
14,S1,00:21.269,00:21.618,-63.0,21269.0,21618.0,1.0
15,S2,00:21.996,00:23.653,378.0,21996.0,23653.0,7.0
16,S1,00:24.022,00:28.574,369.0,24022.0,28574.0,16.0
17,S2,00:28.670,00:29.655,96.0,28670.0,29655.0,3.0
18,S1,00:29.339,00:30.988,-316.0,29339.0,30988.0,11.0
19,S2,00:31.212,00:31.538,224.0,31212.0,31538.0,1.0
20,S1,00:31.765,00:34.944,227.0,31765.0,34944.0,11.0
21,S2,00:34.960,00:37.824,16.0,34960.0,37824.0,10.0
22,S1,00:37.646,00:40.695,-178.0,37646.0,40695.0,9.0
23,S2,00:39.884,00:46.963,-811.0,39884.0,46963.0,25.0
24,S2,00:47.470,00:52.045,507.0,47470.0,52045.0,18.0
25,S1,00:51.454,00:54.841,-591.0,51454.0,54841.0,12.0
26,S2,00:54.898,00:58.311,57.0,54898.0,58311.0,15.0
27,S1,00:58.384,01:00.671,73.0,58384.0,60671.0,11.0
28,S2,01:01.341,01:01.876,670.0,61341.0,61876.0,4.0
29,S1,01:02.215,01:03.769,339.0,62215.0,63769.0,5.0
30,S2,01:03.921,01:04.289,152.0,63921.0,64289.0,1.0
31,S1,01:04.392,01:05.223,103.0,64392.0,65223.0,8.0
32,S2,01:05.360,01:06.063,137.0,65360.0,66063.0,4.0
33,S1,01:07.257,01:08.007,1194.0,67257.0,68007.0,5.0
34,S2,01:08.298,01:09.472,291.0,68298.0,69472.0,6.0
35,S1,01:09.503,01:10.274,31.0,69503.0,70274.0,3.0
36,S2,01:10.182,01:11.839,-92.0,70182.0,71839.0,8.0
37,S1,01:12.165,01:13.328,326.0,72165.0,73328.0,8.0
38,S2,01:13.784,01:15.863,456.0,73784.0,75863.0,1.0
39,S1,01:15.893,01:16.682,30.0,75893.0,76682.0,1.0
40,S2,01:15.005,01:15.169,-1677.0,75005.0,75169.0,1.0
41,S1,01:15.266,01:15.668,97.0,75266.0,75668.0,2.0
42,S2,01:15.805,01:17.765,137.0,75805.0,77765.0,9.0
43,S1,01:17.462,01:18.311,-303.0,77462.0,78311.0,5.0
44,S2,01:18.711,01:19.983,400.0,78711.0,79983.0,4.0
45,S1,01:19.314,01:22.297,-669.0,79314.0,82297.0,12.0
46,S2,01:22.561,01:23.421,264.0,82561.0,83421.0,2.0
47,S1,01:23.468,01:23.746,47.0,83468.0,83746.0,1.0
48,S2,01:23.819,01:24.036,73.0,83819.0,84036.0,1.0
49,S1,01:24.200,01:24.961,164.0,84200.0,84961.0,3.0
50,S2,01:25.329,01:26.345,368.0,85329.0,86345.0,5.0
51,S1,01:26.821,01:27.331,476.0,86821.0,87331.0,3.0
52,S2,01:27.545,01:29.293,214.0,87545.0,89293.0,5.0
53,S1,01:29.688,01:30.256,395.0,89688.0,90256.0,4.0
54,S2,01:30.335,01:31.007,79.0,90335.0,91007.0,2.0
55,S1,01:30.776,01:31.379,-231.0,90776.0,91379.0,3.0
56,S2,01:31.197,01:34.592,-182.0,91197.0,94592.0,11.0
57,S1,01:34.869,01:35.275,277.0,94869.0,95275.0,2.0
58,S2,01:35.319,01:36.358,44.0,95319.0,96358.0,3.0
59,S1,01:36.077,01:38.499,-281.0,96077.0,98499.0,12.0
60,S2,01:37.971,01:45.293,-528.0,97971.0,105293.0,28.0
61,S1,01:44.332,01:44.980,-961.0,104332.0,104980.0,3.0
62,S2,01:45.226,01:45.480,246.0,105226.0,105480.0,1.0
63,S1,01:45.664,01:47.391,184.0,105664.0,107391.0,8.0
64,S2,01:47.562,01:52.492,171.0,107562.0,112492.0,12.0
65,S1,01:52.578,01:53.199,86.0,112578.0,113199.0,4.0
66,S2,01:53.493,01:55.123,294.0,113493.0,115123.0,6.0
67,S1,01:55.131,01:56.834,8.0,115131.0,116834.0,7.0
68,S2,01:56.906,02:08.216,72.0,116906.0,128216.0,33.0
69,S1,02:06.847,02:08.051,-1369.0,126847.0,128051.0,4.0
70,S2,02:08.327,02:08.543,276.0,128327.0,128543.0,1.0
71,S1,02:08.923,02:11.696,380.0,128923.0,131696.0,10.0
72,S2,02:12.537,02:13.188,841.0,132537.0,133188.0,4.0
73,S1,02:12.648,02:14.205,-540.0,132648.0,134205.0,8.0
74,S2,02:14.378,02:18.255,173.0,134378.0,138255.0,20.0
75,S1,02:18.341,02:18.594,86.0,138341.0,138594.0,1.0
76,S2,02:18.889,02:25.401,295.0,138889.0,145401.0,24.0
77,S1,02:26.684,02:27.471,1283.0,146684.0,147471.0,5.0
78,S2,02:27.331,02:30.022,-140.0,147331.0,150022.0,12.0
79,S1,02:30.323,02:30.780,301.0,150323.0,150780.0,2.0
80,S2,02:30.917,02:34.757,137.0,150917.0,154757.0,16.0
81,S1,02:34.958,02:36.942,201.0,154958.0,156942.0,11.0
82,S2,02:37.359,02:38.811,417.0,157359.0,158811.0,6.0
83,S1,02:39.045,02:40.766,234.0,159045.0,160766.0,5.0
84,S2,02:41.093,02:41.304,327.0,161093.0,161304.0,1.0
85,S1,02:41.205,02:41.734,-99.0,161205.0,161734.0,3.0
86,S2,02:42.094,02:43.079,360.0,162094.0,163079.0,3.0
87,S1,02:42.701,02:44.152,-378.0,162701.0,164152.0,5.0
88,S2,02:44.441,02:47.725,289.0,164441.0,167725.0,11.0
89,S1,02:47.630,02:49.056,-95.0,167630.0,169056.0,7.0
90,S2,02:49.280,02:50.005,224.0,169280.0,170005.0,4.0
91,S1,02:49.989,02:50.292,-16.0,169989.0,170292.0,1.0
92,S2,02:51.046,02:54.981,754.0,171046.0,174981.0,13.0
93,S1,02:55.017,02:55.733,36.0,175017.0,175733.0,4.0
94,S2,02:55.102,02:56.089,-631.0,175102.0,176089.0,6.0
95,S1,02:56.263,02:56.875,174.0,176263.0,176875.0,2.0
96,S2,02:57.495,02:57.762,620.0,177495.0,177762.0,1.0
97,S1,02:57.833,02:59.843,71.0,177833.0,179843.0,6.0
98,S2,02:59.951,03:04.056,108.0,179951.0,184056.0,14.0
99,S1,03:04.251,03:04.441,195.0,184251.0,184441.0,1.0
100,S2,03:04.752,03:06.343,311.0,184752.0,186343.0,6.0
101,S1,03:06.488,03:06.663,145.0,186488.0,186663.0,1.0
102,S2,03:06.593,03:14.239,-70.0,186593.0,194239.0,35.0
103,S1,03:14.363,03:15.097,124.0,194363.0,195097.0,3.0
104,S2,03:14.840,03:15.371,-257.0,194840.0,195371.0,2.0
105,S1,03:15.597,03:15.778,226.0,195597.0,195778.0,1.0
106,S2,03:15.793,03:19.850,15.0,195793.0,199850.0,15.0
107,S1,03:18.873,03:19.608,-977.0,198873.0,199608.0,3.0
108,S2,03:20.029,03:20.241,421.0,200029.0,200241.0,1.0
109,S1,03:20.675,03:22.242,434.0,200675.0,202242.0,5.0
110,S2,03:22.821,03:30.702,579.0,202821.0,210702.0,30.0
111,S1,03:30.977,03:32.910,275.0,210977.0,212910.0,10.0
112,S2,03:33.426,03:34.859,516.0,213426.0,214859.0,3.0
113,S1,03:35.104,03:35.660,245.0,215104.0,215660.0,2.0
114,S2,03:35.204,03:45.132,-456.0,215204.0,225132.0,38.0
115,S1,03:44.643,03:46.164,-489.0,224643.0,226164.0,9.0
116,S2,03:46.559,03:49.585,395.0,226559.0,229585.0,12.0
117,S1,03:49.610,03:51.028,25.0,229610.0,231028.0,3.0
118,S2,03:49.616,04:01.482,-1412.0,229616.0,241482.0,45.0
119,S1,04:01.275,04:03.738,-207.0,241275.0,243738.0,7.0
120,S2,04:02.928,04:06.741,-810.0,242928.0,246741.0,16.0
121,S1,04:06.803,04:07.725,62.0,246803.0,247725.0,6.0
122,S2,04:09.100,04:18.199,1375.0,249100.0,258199.0,38.0
123,S1,04:18.562,04:18.923,363.0,258562.0,258923.0,1.0
124,S2,04:19.412,04:19.612,489.0,259412.0,259612.0,1.0
125,S1,04:20.600,04:21.431,988.0,260600.0,261431.0,5.0
126,S2,04:21.823,04:23.912,392.0,261823.0,263912.0,9.0
127,S1,04:24.201,04:24.846,289.0,264201.0,264846.0,2.0
128,S2,04:24.883,04:25.097,37.0,264883.0,265097.0,1.0
129,S1,04:25.470,04:25.946,373.0,265470.0,265946.0,3.0
130,S2,04:26.270,04:33.422,324.0,266270.0,273422.0,27.0
131,S1,04:33.519,04:33.664,97.0,273519.0,273664.0,1.0
132,S2,04:33.591,04:42.299,-73.0,273591.0,282299.0,26.0
133,S1,04:42.269,04:43.299,-30.0,282269.0,283299.0,7.0
134,S2,04:44.406,04:45.673,1107.0,284406.0,285673.0,4.0
135,S2,04:47.276,04:51.715,1603.0,287276.0,291715.0,18.0
136,S1,04:52.017,04:52.942,302.0,292017.0,292942.0,7.0
137,S2,04:53.459,04:55.305,517.0,293459.0,295305.0,9.0
138,S1,04:55.374,04:55.659,69.0,295374.0,295659.0,1.0
139,S2,04:56.088,04:57.157,429.0,296088.0,297157.0,5.0
140,S1,04:57.517,04:59.678,360.0,297517.0,299678.0,13.0
141,S2,04:59.931,05:01.309,253.0,299931.0,301309.0,5.0
142,S1,05:01.693,05:02.642,384.0,301693.0,302642.0,8.0
143,S2,05:02.493,05:03.206,-149.0,302493.0,303206.0,2.0
144,S1,05:02.836,05:05.238,-370.0,302836.0,305238.0,9.0
145,S2,05:05.291,05:08.149,53.0,305291.0,308149.0,10.0
146,S1,05:08.279,05:10.290,130.0,308279.0,310290.0,5.0
147,S2,05:10.090,05:11.987,-200.0,310090.0,311987.0,3.0
148,S1,05:12.315,05:13.571,328.0,312315.0,313571.0,3.0
149,S2,05:14.161,05:14.343,590.0,314161.0,314343.0,2.0
150,S1,05:15.010,05:20.717,667.0,315010.0,320717.0,20.0
151,S2,05:21.232,05:22.819,515.0,321232.0,322819.0,8.0
152,S1,05:22.631,05:24.112,-188.0,322631.0,324112.0,7.0
153,S2,05:24.317,05:24.661,205.0,324317.0,324661.0,1.0
154,S1,05:24.810,05:25.665,149.0,324810.0,325665.0,5.0
155,S2,05:25.026,05:30.123,-639.0,325026.0,330123.0,23.0
156,S1,05:30.397,05:31.017,274.0,330397.0,331017.0,4.0
157,S2,05:31.433,05:38.273,416.0,331433.0,338273.0,22.0
158,S1,05:38.266,05:38.975,-7.0,338266.0,338975.0,5.0
159,S2,05:38.925,05:39.598,-50.0,338925.0,339598.0,4.0
160,S1,05:39.527,05:39.651,-71.0,339527.0,339651.0,1.0
161,S2,05:40.088,05:49.462,437.0,340088.0,349462.0,27.0
162,S1,05:49.756,05:50.342,294.0,349756.0,350342.0,3.0
163,S2,05:50.873,05:56.424,531.0,350873.0,356424.0,20.0
164,S1,05:55.726,05:57.106,-698.0,355726.0,357106.0,3.0
165,S2,05:56.875,05:58.524,-231.0,356875.0,358524.0,6.0
166,S1,05:59.536,06:00.649,1012.0,359536.0,360649.0,7.0
167,S2,06:00.851,06:10.517,202.0,360851.0,370517.0,37.0
168,S1,06:11.375,06:13.758,858.0,371375.0,373758.0,14.0
169,S2,06:14.363,06:23.656,605.0,374363.0,383656.0,24.0
170,S1,06:23.874,06:24.748,218.0,383874.0,384748.0,5.0
171,S2,06:24.878,06:28.511,130.0,384878.0,388511.0,18.0
172,S1,06:28.651,06:29.538,140.0,388651.0,389538.0,3.0
173,S2,06:29.668,06:29.966,130.0,389668.0,389966.0,1.0
174,S1,06:30.018,06:31.043,52.0,390018.0,391043.0,5.0
175,S2,06:29.777,06:31.034,-1266.0,389777.0,391034.0,4.0
176,S1,06:31.181,06:32.307,147.0,391181.0,392307.0,4.0
177,S2,06:32.418,06:33.828,111.0,392418.0,393828.0,5.0
