turn_num,speaker,turn_start,turn_end,gap_length,turn_start_msec,turn_end_msec,number_of_words
0,S1,00:00.000,00:02.299,0.0,0.0,2299.0,8.0
1,S2,00:02.082,00:03.099,-217.0,2082.0,3099.0,6.0
2,S1,00:03.442,00:03.735,343.0,3442.0,3735.0,1.0
3,S2,00:04.117,00:04.634,382.0,4117.0,4634.0,2.0
4,S1,00:05.029,00:05.661,395.0,5029.0,5661.0,5.0
5,S2,00:05.879,00:07.523,218.0,5879.0,7523.0,10.0
6,S1,00:07.778,00:08.647,255.0,7778.0,8647.0,5.0
7,S2,00:09.071,00:09.557,424.0,9071.0,9557.0,2.0
8,S1,00:09.655,00:10.312,98.0,9655.0,10312.0,5.0
9,S2,00:10.592,00:10.602,280.0,10592.0,10602.0,1.0
10,S1,00:10.819,00:11.927,217.0,10819.0,11927.0,6.0
11,S2,00:12.346,00:15.694,419.0,12346.0,15694.0,18.0
12,S1,00:15.800,00:23.500,106.0,15800.0,23500.0,30.0
13,S2,00:23.308,00:25.857,-192.0,23308.0,25857.0,7.0
14,S1,00:25.189,00:26.279,-668.0,25189.0,26279.0,4.0
15,S2,00:26.008,00:27.455,-271.0,26008.0,27455.0,6.0
16,S1,00:27.143,00:29.417,-312.0,27143.0,29417.0,11.0
17,S2,00:29.410,00:29.919,-7.0,29410.0,29919.0,2.0
18,S1,00:29.775,00:31.214,-144.0,29775.0,31214.0,5.0
19,S2,00:31.563,00:34.627,349.0,31563.0,34627.0,14.0
20,S1,00:34.923,00:48.499,296.0,34923.0,48499.0,45.0
21,S2,00:48.616,00:57.424,117.0,48616.0,57424.0,33.0
22,S1,00:57.365,00:59.649,-59.0,57365.0,59649.0,11.0
23,S2,01:00.077,01:01.621,428.0,60077.0,61621.0,7.0
24,S1,01:01.664,01:02.766,43.0,61664.0,62766.0,7.0
25,S2,01:03.302,01:07.312,536.0,63302.0,67312.0,19.0
26,S1,01:06.518,01:07.905,-794.0,66518.0,67905.0,4.0
27,S2,01:07.864,01:08.597,-41.0,67864.0,68597.0,4.0
28,S1,01:09.198,01:20.465,601.0,69198.0,80465.0,35.0
29,S2,01:21.869,01:22.761,1404.0,81869.0,82761.0,6.0
