turn_num,speaker,turn_start,turn_end,gap_length,turn_start_msec,turn_end_msec,number_of_words
0,S1,00:00.357,00:02.840,357.0,357.0,2840.0,6.0
1,S2,00:03.615,00:04.391,775.0,3615.0,4391.0,3.0
2,S1,00:04.860,00:06.039,469.0,4860.0,6039.0,8.0
3,S2,00:06.180,00:08.004,141.0,6180.0,8004.0,6.0
4,S1,00:09.180,00:12.222,1176.0,9180.0,12222.0,11.0
5,S2,00:12.340,00:13.100,118.0,12340.0,13100.0,3.0
6,S1,00:13.485,00:14.440,385.0,13485.0,14440.0,7.0
7,S2,00:14.736,00:14.939,296.0,14736.0,14939.0,1.0
8,S1,00:15.739,00:17.266,800.0,15739.0,17266.0,7.0
9,S2,00:19.091,00:19.330,1825.0,19091.0,19330.0,1.0
10,S1,00:19.462,00:20.698,132.0,19462.0,20698.0,6.0
11,S2,00:21.045,00:21.714,347.0,21045.0,21714.0,3.0
12,S1,00:21.761,00:23.806,47.0,21761.0,23806.0,8.0
13,S2,00:25.539,00:28.418,1733.0,25539.0,28418.0,12.0
14,S1,00:29.028,00:30.208,610.0,29028.0,30208.0,4.0
15,S2,00:30.686,00:30.957,478.0,30686.0,30957.0,1.0
16,S1,00:31.214,00:36.446,257.0,31214.0,36446.0,9.0
17,S2,00:37.020,00:39.927,574.0,37020.0,39927.0,9.0
18,S1,00:40.577,00:42.541,650.0,40577.0,42541.0,5.0
19,S2,00:43.495,00:44.144,954.0,43495.0,44144.0,4.0
20,S1,00:44.739,00:46.214,595.0,44739.0,46214.0,6.0
21,S2,00:46.699,00:47.839,485.0,46699.0,47839.0,4.0
22,S1,00:48.453,00:51.838,614.0,48453.0,51838.0,8.0
23,S2,00:51.984,00:52.622,146.0,51984.0,52622.0,4.0
24,S1,00:55.027,00:55.735,2405.0,55027.0,55735.0,5.0
25,S2,00:56.301,00:58.050,566.0,56301.0,58050.0,5.0
26,S1,00:58.270,00:59.986,220.0,58270.0,59986.0,8.0
27,S2,00:59.984,01:01.642,-2.0,59984.0,61642.0,7.0
28,S1,01:01.860,01:08.320,218.0,61860.0,68320.0,22.0
29,S2,01:10.255,01:10.789,1935.0,70255.0,70789.0,4.0
30,S1,01:11.415,01:13.315,626.0,71415.0,73315.0,3.0
31,S2,01:14.065,01:15.011,750.0,74065.0,75011.0,2.0
32,S1,01:15.330,01:20.232,319.0,75330.0,80232.0,12.0
33,S2,01:20.527,01:21.137,295.0,80527.0,81137.0,1.0
34,S1,01:21.189,01:21.481,52.0,81189.0,81481.0,1.0
35,S2,01:22.006,01:22.223,525.0,82006.0,82223.0,1.0
36,S1,01:22.577,01:23.459,354.0,82577.0,83459.0,2.0
37,S2,01:23.641,01:27.082,182.0,83641.0,87082.0,3.0
38,S1,01:26.153,01:28.540,-929.0,86153.0,88540.0,7.0
39,S2,01:29.378,01:30.221,838.0,89378.0,90221.0,1.0
40,S1,01:30.570,01:33.500,349.0,90570.0,93500.0,4.0
41,S2,01:34.419,01:34.623,919.0,94419.0,94623.0,1.0
42,S1,01:35.343,01:36.086,720.0,95343.0,96086.0,5.0
43,S2,01:36.199,01:40.477,113.0,96199.0,100477.0,7.0
44,S1,01:40.905,01:43.167,428.0,100905.0,103167.0,9.0
45,S1,01:44.545,01:47.490,1378.0,104545.0,107490.0,16.0
46,S2,01:48.667,01:50.449,1177.0,108667.0,110449.0,5.0
47,S1,01:49.757,01:51.236,-692.0,109757.0,111236.0,4.0
48,S2,01:51.807,01:53.696,571.0,111807.0,113696.0,8.0
49,S1,01:54.704,01:57.030,1008.0,114704.0,117030.0,13.0
50,S2,01:57.170,01:57.524,140.0,117170.0,117524.0,1.0
51,S1,01:57.548,01:58.083,24.0,117548.0,118083.0,3.0
52,S2,01:58.181,02:01.616,98.0,118181.0,121616.0,10.0
53,S1,02:00.769,02:02.545,-847.0,120769.0,122545.0,8.0
54,S2,02:03.071,02:03.272,526.0,123071.0,123272.0,1.0
55,S1,02:03.573,02:06.879,301.0,123573.0,126879.0,19.0
56,S2,02:07.022,02:09.344,143.0,127022.0,129344.0,2.0
