turn_num,speaker,turn_start,turn_end,gap_length,turn_start_msec,turn_end_msec,number_of_words
0,S1,00:00.318,00:01.189,318.0,318.0,1189.0,4.0
1,S2,00:02.107,00:06.110,918.0,2107.0,6110.0,13.0
2,S1,00:07.110,00:11.027,1000.0,7110.0,11027.0,11.0
3,S2,00:11.104,00:15.810,77.0,11104.0,15810.0,9.0
4,S1,00:16.880,00:17.873,1070.0,16880.0,17873.0,4.0
5,S2,00:18.156,00:22.546,283.0,18156.0,22546.0,10.0
6,S1,00:23.019,00:25.600,473.0,23019.0,25600.0,10.0
7,S2,00:26.055,00:35.676,455.0,26055.0,35676.0,27.0
8,S1,00:35.973,00:40.307,297.0,35973.0,40307.0,14.0
9,S2,00:40.799,00:45.742,492.0,40799.0,45742.0,11.0
10,S1,00:44.363,00:46.335,-1379.0,44363.0,46335.0,7.0
11,S2,00:46.652,00:49.370,317.0,46652.0,49370.0,5.0
12,S1,00:48.600,00:48.944,-770.0,48600.0,48944.0,3.0
13,S2,00:49.121,00:49.309,177.0,49121.0,49309.0,1.0
14,S1,00:50.545,00:51.017,1236.0,50545.0,51017.0,2.0
15,S2,00:51.620,00:52.131,603.0,51620.0,52131.0,2.0
16,S1,00:51.963,00:53.480,-168.0,51963.0,53480.0,4.0
17,S2,00:54.044,00:57.846,564.0,54044.0,57846.0,10.0
18,S1,00:58.487,01:00.217,641.0,58487.0,60217.0,7.0
19,S2,01:00.717,01:06.535,500.0,60717.0,66535.0,11.0
20,S1,01:06.852,01:07.592,317.0,66852.0,67592.0,2.0
21,S2,01:07.752,01:17.564,160.0,67752.0,77564.0,23.0
22,S1,01:18.161,01:19.351,597.0,78161.0,79351.0,5.0
23,S2,01:19.756,01:20.652,405.0,79756.0,80652.0,1.0
24,S1,01:20.808,01:22.976,156.0,80808.0,82976.0,7.0
25,S2,01:24.004,01:27.644,1028.0,84004.0,87644.0,16.0
26,S1,01:28.006,01:28.613,362.0,88006.0,88613.0,2.0
27,S2,01:28.693,01:28.910,80.0,88693.0,88910.0,1.0
28,S1,01:32.542,01:33.856,3632.0,92542.0,93856.0,5.0
29,S2,01:34.352,01:34.547,496.0,94352.0,94547.0,1.0
30,S1,01:34.547,01:34.980,0.0,94547.0,94980.0,2.0
31,S2,01:35.217,01:35.362,237.0,95217.0,95362.0,1.0
32,S1,01:35.640,01:38.542,278.0,95640.0,98542.0,10.0
33,S2,01:38.773,02:02.893,231.0,98773.0,122893.0,79.0
34,S1,02:03.038,02:05.020,145.0,123038.0,125020.0,6.0
35,S2,02:04.885,02:08.637,-135.0,124885.0,128637.0,2.0
36,S1,02:08.483,02:09.416,-154.0,128483.0,129416.0,2.0
37,S2,02:09.816,02:12.340,400.0,129816.0,132340.0,5.0
38,S1,02:12.795,02:13.268,455.0,132795.0,133268.0,2.0
39,S2,02:13.868,02:16.148,600.0,133868.0,136148.0,9.0
40,S2,02:18.837,02:19.524,2689.0,138837.0,139524.0,3.0
41,S1,02:20.628,02:35.723,1104.0,140628.0,155723.0,37.0
42,S2,02:36.119,02:36.856,396.0,156119.0,156856.0,4.0
43,S1,02:37.663,02:37.955,807.0,157663.0,157955.0,1.0
44,S2,02:38.127,02:39.766,172.0,158127.0,159766.0,9.0
45,S1,02:39.476,02:46.515,-290.0,159476.0,166515.0,17.0
46,S1,02:47.861,02:48.124,1346.0,167861.0,168124.0,2.0
47,S2,02:48.637,02:48.919,513.0,168637.0,168919.0,1.0
48,S1,02:48.769,02:49.328,-150.0,168769.0,169328.0,3.0
49,S2,02:49.257,02:50.273,-71.0,169257.0,170273.0,2.0
50,S1,02:50.493,02:51.572,220.0,170493.0,171572.0,5.0
51,S2,02:51.651,02:52.979,79.0,171651.0,172979.0,6.0
52,S1,02:53.064,02:54.750,85.0,173064.0,174750.0,7.0
53,S2,02:55.088,02:55.930,338.0,175088.0,175930.0,5.0
54,S1,02:57.058,03:05.558,1128.0,177058.0,185558.0,29.0
55,S2,03:05.490,03:05.831,-68.0,185490.0,185831.0,1.0
56,S1,03:06.152,03:07.172,321.0,186152.0,187172.0,8.0
57,S2,03:07.222,03:08.915,50.0,187222.0,188915.0,7.0
58,S1,03:09.070,03:22.823,155.0,189070.0,202823.0,41.0
59,S2,03:23.074,03:23.820,251.0,203074.0,203820.0,6.0
60,S1,03:24.840,03:39.001,1020.0,204840.0,219001.0,42.0
61,S2,03:39.803,03:45.318,802.0,219803.0,225318.0,14.0
62,S1,03:45.476,03:52.951,158.0,225476.0,232951.0,26.0
63,S2,03:53.474,04:08.554,523.0,233474.0,248554.0,42.0
64,S1,04:08.124,04:13.719,-430.0,248124.0,253719.0,17.0
65,S2,04:13.854,04:14.196,135.0,253854.0,254196.0,1.0
