turn_num,speaker,turn_start,turn_end,gap_length,turn_start_msec,turn_end_msec,number_of_words
0,S1,00:03.250,00:07.069,3250.0,3250.0,7069.0,11.0
1,S2,00:07.220,00:17.240,151.0,7220.0,17240.0,29.0
2,S1,00:17.620,00:21.860,380.0,17620.0,21860.0,15.0
3,S2,00:21.100,00:28.481,-760.0,21100.0,28481.0,31.0
4,S1,00:28.534,00:29.564,53.0,28534.0,29564.0,1.0
5,S2,00:29.982,00:31.856,418.0,29982.0,31856.0,11.0
6,S1,00:32.014,00:33.679,158.0,32014.0,33679.0,10.0
7,S2,00:33.866,00:39.510,187.0,33866.0,39510.0,19.0
8,S1,00:40.010,00:40.132,500.0,40010.0,40132.0,1.0
9,S2,00:40.406,00:49.720,274.0,40406.0,49720.0,42.0
10,S1,00:49.810,00:50.135,90.0,49810.0,50135.0,1.0
11,S2,00:50.310,00:51.982,175.0,50310.0,51982.0,8.0
12,S1,00:52.528,00:53.534,546.0,52528.0,53534.0,5.0
13,S2,00:54.549,00:55.310,1015.0,54549.0,55310.0,6.0
14,S1,00:55.926,00:56.724,616.0,55926.0,56724.0,5.0
15,S2,00:57.601,00:58.172,877.0,57601.0,58172.0,2.0
16,S1,01:00.155,01:00.472,1983.0,60155.0,60472.0,3.0
17,S2,01:01.268,01:03.856,796.0,61268.0,63856.0,6.0
18,S1,01:04.883,01:06.420,1027.0,64883.0,66420.0,10.0
19,S2,01:06.696,01:16.444,276.0,66696.0,76444.0,33.0
20,S1,01:17.061,01:20.877,617.0,77061.0,80877.0,11.0
21,S2,01:21.634,01:24.073,757.0,81634.0,84073.0,9.0
22,S1,01:24.968,01:38.487,895.0,84968.0,98487.0,29.0
23,S2,01:40.052,01:42.995,1565.0,100052.0,102995.0,2.0
24,S1,01:43.495,01:46.135,500.0,103495.0,106135.0,7.0
25,S2,01:46.814,01:47.239,679.0,106814.0,107239.0,2.0
26,S1,01:47.312,01:49.086,73.0,107312.0,109086.0,6.0
27,S2,01:49.511,01:50.057,425.0,109511.0,110057.0,3.0
28,S1,01:50.783,01:53.992,726.0,110783.0,113992.0,15.0
29,S2,01:53.843,01:54.548,-149.0,113843.0,114548.0,5.0
30,S1,01:54.903,01:55.095,355.0,114903.0,115095.0,1.0
31,S2,01:55.377,01:56.015,282.0,115377.0,116015.0,5.0
32,S1,01:56.261,02:03.022,246.0,116261.0,123022.0,25.0
33,S2,02:02.953,02:03.673,-69.0,122953.0,123673.0,5.0
34,S1,02:04.016,02:50.146,343.0,124016.0,170146.0,158.0
35,S2,02:50.046,02:50.250,-100.0,170046.0,170250.0,3.0
36,S2,02:51.268,02:51.701,1018.0,171268.0,171701.0,2.0
37,S1,02:52.228,02:53.805,527.0,172228.0,173805.0,8.0
38,S2,02:54.576,03:01.139,771.0,174576.0,181139.0,23.0
39,S1,03:04.213,03:05.615,3074.0,184213.0,185615.0,7.0
40,S2,03:05.615,03:06.270,0.0,185615.0,186270.0,2.0
41,S1,03:07.766,03:19.393,1496.0,187766.0,199393.0,35.0
42,S2,03:20.196,03:24.465,803.0,200196.0,204465.0,11.0
43,S1,03:24.226,03:26.186,-239.0,204226.0,206186.0,5.0
44,S2,03:25.214,03:26.561,-972.0,205214.0,206561.0,5.0
45,S1,03:27.261,03:27.546,700.0,207261.0,207546.0,2.0
46,S2,03:27.730,03:28.518,184.0,207730.0,208518.0,2.0
47,S1,03:28.641,03:30.160,123.0,208641.0,210160.0,6.0
48,S2,03:30.394,03:32.296,234.0,210394.0,212296.0,10.0
49,S1,03:31.326,03:33.916,-970.0,211326.0,213916.0,10.0
50,S2,03:34.167,03:38.310,251.0,214167.0,218310.0,20.0
51,S1,03:38.312,03:40.797,2.0,218312.0,220797.0,12.0
52,S2,03:40.786,03:42.764,-11.0,220786.0,222764.0,12.0
53,S1,03:42.675,03:43.230,-89.0,222675.0,223230.0,4.0
54,S2,03:43.338,03:43.724,108.0,223338.0,223724.0,3.0
55,S1,03:43.745,03:44.215,21.0,223745.0,224215.0,4.0
56,S2,03:44.407,03:45.039,192.0,224407.0,225039.0,5.0
57,S1,03:45.035,03:46.601,-4.0,225035.0,226601.0,11.0
58,S2,03:46.621,03:48.457,20.0,226621.0,228457.0,4.0
59,S1,03:47.965,03:48.832,-492.0,227965.0,228832.0,5.0
60,S2,03:49.393,03:50.577,561.0,229393.0,230577.0,7.0
61,S1,03:52.161,03:53.790,1584.0,232161.0,233790.0,8.0
62,S1,03:55.625,04:00.268,1835.0,235625.0,240268.0,11.0
63,S2,04:00.530,04:05.486,262.0,240530.0,245486.0,16.0
64,S1,04:05.603,04:06.293,117.0,245603.0,246293.0,8.0
65,S2,04:07.551,04:16.033,1258.0,247551.0,256033.0,25.0
66,S1,04:16.222,04:17.797,189.0,256222.0,257797.0,7.0
67,S2,04:17.839,04:20.595,42.0,257839.0,260595.0,17.0
68,S1,04:21.287,04:24.005,692.0,261287.0,264005.0,17.0
69,S2,04:24.150,04:33.774,145.0,264150.0,273774.0,45.0
70,S1,04:34.662,04:35.227,888.0,274662.0,275227.0,3.0
71,S2,04:34.825,04:35.465,-402.0,274825.0,275465.0,4.0
72,S1,04:35.597,04:51.646,132.0,275597.0,291646.0,62.0
73,S2,04:51.850,04:52.492,204.0,291850.0,292492.0,3.0
74,S1,04:53.553,04:54.881,1061.0,293553.0,294881.0,6.0
75,S2,04:54.877,04:58.760,-4.0,294877.0,298760.0,14.0
76,S1,04:58.760,05:01.353,0.0,298760.0,301353.0,11.0
77,S2,05:01.674,05:01.938,321.0,301674.0,301938.0,1.0
78,S1,05:02.471,05:06.031,533.0,302471.0,306031.0,14.0
79,S2,05:06.364,05:16.647,333.0,306364.0,316647.0,39.0
80,S1,05:16.627,05:18.672,-20.0,316627.0,318672.0,7.0
81,S2,05:18.415,05:23.474,-257.0,318415.0,323474.0,9.0
82,S1,05:24.638,05:25.020,1164.0,324638.0,325020.0,2.0
83,S2,05:25.237,05:25.528,217.0,325237.0,325528.0,1.0
