subID,partnerID,convo_flow,convo_enjoy,friends,speak,knew_before,knew_before_text,know_now,common,similar,attractive,attracted_to,extraverted,fun,disclosed,comfortable,extraverted_self,fun_self,disclosed_self,comfortable_self,length_self,length_partner,convo_order,round_robin_num
88,90,71,72,78,32,0,,14,81,81,54,27,92,82,73,76,63,66,82,78,48,54,2,5
88,86,100,100,93,59,24,He was in my favorite class at Dartmouth,59,96,95,78,51,94,92,73,93,81,81,82,84,85,84,3,5
88,87,100,100,95,77,0,,56,80,77,81,38,81,88,86,88,100,81,83,84,78,71,4,5
88,80,91,85,78,70,0,,53,65,55,68,49,49,88,77,34,95,61,45,83,53,53,5,5
88,83,92,86,82,26,0,,51,69,75,63,48,89,91,70,93,61,73,34,94,55,65,6,5
88,89,75,69,62,55,0,,53,28,61,49,48,84,77,75,85,74,66,60,89,62,48,7,5
88,82,38,43,35,52,0,,55,31,33,37,34,57,54,77,58,34,29,42,39,19,40,8,5
88,81,81,81,78,74,0,,53,55,65,54,49,77,97,73,35,90,74,78,90,69,70,9,5
88,84,83,87,92,55,0,,63,76,77,78,51,75,94,67,80,82,76,46,89,81,55,10,5
89,80,25,60,59,58,0,,25,32,32,72,25,76,58,33,44,60,46,58,61,56,50,1,5
89,81,59,58,54,55,0,,16,58,59,59,10,43,60,35,64,58,52,57,70,56,52,2,5
89,82,95,88,87,54,0,,43,80,84,67,9,74,67,55,78,63,59,45,95,65,54,3,5
89,84,74,79,71,74,0,,10,53,61,54,9,53,74,15,62,80,66,12,77,60,53,4,5
89,85,82,85,95,71,0,,35,62,63,61,5,72,81,13,80,69,68,31,97,70,59,5,5
89,90,85,83,82,50,7,"Saw them in Psych class, never spoke",34,58,59,55,7,67,73,41,74,77,65,47,95,61,55,6,5
89,87,83,79,91,65,0,,22,52,61,76,5,79,78,14,80,73,72,29,90,59,53,7,5
89,83,56,66,52,51,25,Was previously in a study with them,46,42,45,47,2,57,57,33,53,53,55,17,63,47,46,8,5
89,88,55,59,47,50,0,,35,40,47,66,6,65,61,57,62,56,52,42,84,57,52,9,5
89,86,68,80,67,53,22,Was in a study with them before,40,55,54,91,7,75,74,57,86,57,60,52,83,57,52,10,5
90,81,89,88,86,70,0,,43,35,65,63,0,86,83,40,71,74,41,37,91,87,57,1,5
90,86,89,88,93,51,0,,53,74,71,72,0,85,85,51,52,70,77,58,83,87,82,2,5
90,87,67,67,57,60,0,,40,65,61,41,0,71,74,39,59,61,61,33,69,71,60,3,5
90,88,55,63,53,70,0,,51,43,44,43,0,37,42,64,52,57,53,42,44,40,40,4,5
90,89,77,68,58,50,21,,55,35,39,37,0,58,64,45,66,57,54,42,65,58,65,5,5
90,84,55,57,57,50,0,,53,33,55,45,0,56,35,42,38,65,64,44,56,49,49,6,5
90,80,65,66,67,67,40,,59,59,60,59,0,55,44,38,61,70,40,45,55,57,55,7,5
90,82,62,61,58,63,0,,35,40,57,47,0,68,67,45,63,61,56,43,64,54,46,8,5
90,83,46,47,48,58,0,,37,36,43,19,0,57,43,43,41,54,45,46,54,55,54,9,5
90,85,20,32,20,56,0,,36,43,30,29,0,44,14,18,29,41,40,40,37,28,32,10,5
100,101,80,75,79,51,0,,15,55,54,25,0,34,71,22,79,33,57,24,58,48,49,1,6
100,103,77,57,68,41,0,,13,58,76,15,0,35,54,6,75,61,32,17,76,35,47,2,6
100,108,47,59,41,45,0,,34,35,44,0,0,69,42,51,70,61,45,52,77,15,31,3,6
100,106,26,32,26,65,0,,10,26,28,0,0,25,34,24,33,56,40,31,47,15,18,4,6
100,107,97,83,87,53,0,,44,82,73,0,0,92,78,79,74,76,75,72,81,87,85,5,6
100,110,81,82,61,43,0,,36,35,57,0,0,73,72,61,75,66,63,39,69,80,76,6,6
100,104,90,90,89,54,0,,39,56,38,0,0,81,89,81,86,78,64,46,74,74,75,7,6
100,109,47,30,21,21,0,,14,37,30,0,0,29,42,16,100,59,31,9,67,9,44,8,6
100,102,78,67,78,65,0,,36,41,71,0,0,34,72,74,73,77,64,77,87,63,64,9,6
100,105,64,28,34,95,0,,2,86,36,0,0,9,20,24,29,81,78,72,58,11,27,10,6
101,106,31,36,32,54,0,,32,29,44,37,0,11,29,45,34,61,36,39,53,39,42,1,6
101,110,96,97,96,51,86,FRIEND,90,86,80,65,20,42,68,58,83,61,63,37,90,82,72,2,6
101,108,88,70,72,51,0,,26,39,60,54,18,83,73,36,66,31,62,30,65,61,39,3,6
101,107,98,96,93,51,24,Met and talked during orientation,62,86,74,51,9,62,86,54,78,59,65,44,80,86,80,5,6
101,103,55,66,63,59,0,,24,40,72,58,12,13,59,41,43,39,39,23,69,51,51,6,6
101,100,73,66,87,58,0,,25,40,82,51,10,21,71,36,74,35,44,19,73,50,52,7,6
101,102,34,58,48,63,7,First aid class,30,41,36,41,12,32,43,33,40,40,42,27,41,41,30,8,6
101,105,61,74,74,57,0,,40,88,78,66,13,33,64,18,47,41,47,19,70,44,42,9,6
101,109,13,29,4,12,4,Same class,19,5,6,10,0,0,8,14,4,12,11,0,2,1,4,10,6
102,104,62,67,50,50,15,met briefly during DOC Trips,39,49,36,67,0,75,61,24,49,39,62,24,73,50,50,1,6
102,103,38,66,59,59,0,,43,60,61,56,0,32,36,10,42,49,42,29,61,52,53,2,6
102,110,82,74,68,50,0,,51,56,36,69,0,71,61,39,49,30,50,22,58,61,56,3,6
102,108,45,59,50,50,0,,37,41,41,53,0,68,51,59,49,61,49,57,74,50,50,4,6
102,107,71,69,73,50,50,He is in some of the clubs I am in.,51,72,50,78,0,100,72,34,58,35,61,29,62,64,62,5,6
102,106,69,54,69,50,0,,31,50,50,38,0,38,57,38,62,70,53,61,51,48,50,6,6
102,109,80,80,65,38,0,,50,50,38,37,0,74,86,59,71,41,62,37,74,66,65,7,6
102,101,51,40,41,51,0,,39,39,50,39,0,40,36,38,49,59,49,40,60,33,38,8,6
102,105,37,65,45,50,13,I see him in my PSYC 6 class,36,39,35,59,0,37,49,19,49,39,42,29,54,37,37,9,6
102,100,65,64,54,49,0,,23,35,38,60,0,35,58,57,60,58,59,40,62,60,60,10,6
103,102,85,95,68,65,0,,49,67,62,63,0,14,67,24,72,42,43,16,96,73,65,1,6
103,110,98,93,60,59,0,,57,25,65,75,0,73,87,15,66,64,55,70,81,62,59,2,6
103,106,64,84,74,48,0,,61,64,56,53,0,14,60,23,43,73,39,18,65,69,56,3,6
103,104,42,56,45,50,0,,25,18,26,64,0,92,67,35,57,29,44,20,73,50,46,4,6
103,107,99,100,79,38,0,,56,69,41,71,0,90,98,26,81,28,60,29,85,76,66,5,6
103,108,26,41,29,51,0,,15,28,30,49,0,62,37,23,59,21,22,15,43,41,40,6,6
103,109,94,99,83,25,0,,69,76,76,54,0,18,92,31,42,16,45,32,68,93,65,7,6
