subID,partnerID,dyad,bin_num,gap_length_mean_1,gap_length_median_1,connection_1,num_turns_1,gap_length_mean_2,gap_length_median_2,connection_2,num_turns_2,gap_length_mean_3,gap_length_median_3,connection_3,num_turns_3,gap_length_mean_4,gap_length_median_4,connection_4,num_turns_4,gap_length_mean_5,gap_length_median_5,connection_5,num_turns_5,gap_length_mean_6,gap_length_median_6,connection_6,num_turns_6,gap_length_mean_10,gap_length_median_10,connection_10,num_turns_10,gap_length_mean_12,gap_length_median_12,connection_12,num_turns_12,gap_length_mean_15,gap_length_median_15,connection_15,num_turns_15,gap_length_mean_20,gap_length_median_20,connection_20,num_turns_20,gap_length_mean_24,gap_length_median_24,connection_24,num_turns_24,gap_length_mean_30,gap_length_median_30,connection_30,num_turns_30,gap_length_mean_40,gap_length_median_40,connection_40,num_turns_40,gap_length_mean_60,gap_length_median_60,connection_60,num_turns_60,gap_length_mean_120,gap_length_median_120,connection_120,num_turns_120
103,110,103_110,0.0,368.1060606060606,313.5,67.32716666666667,264.0,394.8114754098361,362.0,62.89833333333333,122.0,420.86301369863014,366.0,55.4995,73.0,401.64285714285717,359.0,48.839333333333336,56.0,372.81632653061223,358.0,45.729166666666664,49.0,406.4186046511628,360.0,50.101,43.0,282.5416666666667,340.0,59.12833333333333,24.0,339.35,340.0,55.638,20.0,347.4117647058824,350.0,51.625,17.0,338.375,340.0,45.166666666666664,16.0,329.6923076923077,330.0,40.296,13.0,331.0833333333333,340.0,33.59,12.0,339.375,340.0,25.48,8.0,277.8333333333333,340.0,26.01,6.0,244.25,250.0,25.0,4.0
110,103,103_110,0.0,368.1060606060606,313.5,12.761,264.0,394.8114754098361,362.0,15.458333333333334,122.0,420.86301369863014,366.0,17.4235,73.0,401.64285714285717,359.0,18.459333333333333,56.0,372.81632653061223,358.0,19.9975,49.0,406.4186046511628,360.0,21.382,43.0,282.5416666666667,340.0,24.375,24.0,339.35,340.0,26.45,20.0,347.4117647058824,350.0,28.085,17.0,338.375,340.0,28.99,16.0,329.6923076923077,330.0,29.808,13.0,331.0833333333333,340.0,31.0,12.0,339.375,340.0,31.0,8.0,277.8333333333333,340.0,31.0,6.0,244.25,250.0,31.0,4.0
103,110,103_110,1.0,,,,,345.1619718309859,257.0,71.756,142.0,346.0449438202247,314.0,69.9735,89.0,389.0151515151515,379.0,76.95733333333334,66.0,384.65909090909093,359.0,72.9975,44.0,441.56666666666666,388.0,60.898,30.0,459.48,424.0,32.33,25.0,464.7391304347826,480.0,44.564,23.0,333.2857142857143,453.5,62.0225,14.0,170.875,367.5,73.09,8.0,357.2857142857143,447.0,70.98,7.0,386.6,488.0,69.66,5.0,337.375,338.5,64.85333333333334,8.0,384.3333333333333,312.0,41.17,6.0,345.0,345.0,27.02,2.0
110,103,103_110,1.0,,,,,345.1619718309859,257.0,10.063666666666666,142.0,346.0449438202247,314.0,10.4025,89.0,389.0151515151515,379.0,12.457333333333333,66.0,384.65909090909093,359.0,13.420833333333333,44.0,441.56666666666666,388.0,13.465,30.0,459.48,424.0,15.62,25.0,464.7391304347826,480.0,16.314,23.0,333.2857142857143,453.5,17.335,14.0,170.875,367.5,19.76,8.0,357.2857142857143,447.0,23.092,7.0,386.6,488.0,25.17,5.0,337.375,338.5,26.98,8.0,384.3333333333333,312.0,31.0,6.0,345.0,345.0,31.0,2.0
103,110,103_110,2.0,,,,,,,,,349.5980392156863,257.0,76.5085,102.0,353.43283582089555,269.0,67.444,67.0,426.9259259259259,353.0,64.555,54.0,356.0,358.0,77.696,49.0,470.1875,473.0,68.705,16.0,385.84615384615387,358.0,46.316,13.0,427.55555555555554,362.0,23.54,18.0,467.26666666666665,508.0,41.34,15.0,350.3333333333333,508.0,64.06,9.0,125.0,288.0,74.135,7.0,469.5,469.5,71.0,2.0,360.25,400.5,68.32,4.0,524.0,524.0,24.42,2.0
110,103,103_110,2.0,,,,,,,,,349.5980392156863,257.0,10.457,102.0,353.43283582089555,269.0,10.196666666666667,67.0,426.9259259259259,353.0,9.661666666666667,54.0,356.0,358.0,11.528,49.0,470.1875,473.0,13.423333333333334,16.0,385.84615384615387,358.0,12.614,13.0,427.55555555555554,362.0,14.5725,18.0,467.26666666666665,508.0,17.69,15.0,350.3333333333333,508.0,15.652,9.0,125.0,288.0,16.955,7.0,469.5,469.5,24.553333333333335,2.0,360.25,400.5,24.97,4.0,524.0,524.0,31.0,2.0
103,110,103_110,3.0,,,,,,,,,,,,,337.7733333333333,252.0,76.068,75.0,314.96491228070175,237.0,79.38,57.0,333.85,249.5,62.251,40.0,335.7857142857143,314.5,77.29,28.0,484.1764705882353,506.0,75.48,17.0,530.1818181818181,477.0,62.76,11.0,447.8,395.0,23.32,10.0,538.2857142857143,385.0,25.068,14.0,541.5714285714286,512.0,49.91,7.0,71.33333333333333,281.0,75.18,6.0,492.0,492.0,71.0,1.0,314.5,312.0,57.92,4.0
110,103,103_110,3.0,,,,,,,,,,,,,337.7733333333333,252.0,9.930666666666667,75.0,314.96491228070175,237.0,11.5925,57.0,333.85,249.5,9.277,40.0,335.7857142857143,314.5,13.418333333333333,28.0,484.1764705882353,506.0,14.316,17.0,530.1818181818181,477.0,12.48,11.0,447.8,395.0,13.55,10.0,538.2857142857143,385.0,16.976,14.0,541.5714285714286,512.0,17.715,7.0,71.33333333333333,281.0,14.966666666666667,6.0,492.0,492.0,25.37,1.0,314.5,312.0,31.0,4.0
103,110,103_110,4.0,,,,,,,,,,,,,,,,,349.6666666666667,261.5,73.97416666666666,60.0,372.6296296296296,283.0,80.483,54.0,447.37931034482756,407.0,77.03833333333333,29.0,350.04,315.0,79.004,25.0,509.46153846153845,469.0,77.55,13.0,603.4285714285714,381.0,61.28,7.0,257.85714285714283,358.0,26.064,7.0,575.3333333333334,462.0,23.21,12.0,631.8,565.0,55.71333333333333,5.0,293.6666666666667,288.0,71.69,3.0,313.0,313.0,67.12,1.0
110,103,103_110,4.0,,,,,,,,,,,,,,,,,349.6666666666667,261.5,9.1325,60.0,372.6296296296296,283.0,12.356,54.0,447.37931034482756,407.0,10.455,29.0,350.04,315.0,13.026,25.0,509.46153846153845,469.0,14.645,13.0,603.4285714285714,381.0,12.306666666666667,7.0,257.85714285714283,358.0,13.384,7.0,575.3333333333334,462.0,16.07,12.0,631.8,565.0,16.753333333333334,5.0,293.6666666666667,288.0,19.91,3.0,313.0,313.0,25.04,1.0
