subID,partnerID,dyad,bin_num,gap_length_mean_1,gap_length_median_1,connection_1,num_turns_1,gap_length_mean_2,gap_length_median_2,connection_2,num_turns_2,gap_length_mean_3,gap_length_median_3,connection_3,num_turns_3,gap_length_mean_4,gap_length_median_4,connection_4,num_turns_4,gap_length_mean_5,gap_length_median_5,connection_5,num_turns_5,gap_length_mean_6,gap_length_median_6,connection_6,num_turns_6,gap_length_mean_10,gap_length_median_10,connection_10,num_turns_10,gap_length_mean_12,gap_length_median_12,connection_12,num_turns_12,gap_length_mean_15,gap_length_median_15,connection_15,num_turns_15,gap_length_mean_20,gap_length_median_20,connection_20,num_turns_20,gap_length_mean_24,gap_length_median_24,connection_24,num_turns_24,gap_length_mean_30,gap_length_median_30,connection_30,num_turns_30,gap_length_mean_40,gap_length_median_40,connection_40,num_turns_40,gap_length_mean_60,gap_length_median_60,connection_60,num_turns_60,gap_length_mean_120,gap_length_median_120,connection_120,num_turns_120
4,5,4_5,0.0,158.6386554621849,172.0,70.1015,119.0,170.3125,187.5,58.13966666666666,64.0,172.7037037037037,201.0,56.8705,54.0,168.57692307692307,201.0,62.12733333333333,52.0,166.33333333333334,208.5,65.62583333333333,42.0,169.3,208.5,68.42,40.0,134.15625,201.0,73.44833333333334,32.0,174.0,208.5,72.338,28.0,169.08695652173913,195.0,70.2425,23.0,165.73684210526315,195.0,67.09666666666666,19.0,104.0,154.5,65.312,16.0,71.38461538461539,65.0,63.505,13.0,134.0,65.0,61.39333333333333,7.0,134.0,65.0,58.5,7.0,236.75,257.0,55.22,4.0
5,4,4_5,0.0,158.6386554621849,172.0,73.81,119.0,170.3125,187.5,69.02233333333334,64.0,172.7037037037037,201.0,71.1215,54.0,168.57692307692307,201.0,73.54466666666667,52.0,166.33333333333334,208.5,77.18083333333334,42.0,169.3,208.5,79.064,40.0,134.15625,201.0,76.795,32.0,174.0,208.5,75.354,28.0,169.08695652173913,195.0,73.1925,23.0,165.73684210526315,195.0,71.35,19.0,104.0,154.5,70.42,16.0,71.38461538461539,65.0,69.025,13.0,134.0,65.0,66.7,7.0,134.0,65.0,62.04,7.0,236.75,257.0,50.0,4.0
4,5,4_5,1.0,,,,,145.05454545454546,132.0,82.06333333333333,55.0,162.84,136.0,70.5175,25.0,177.83333333333334,141.0,54.152,12.0,208.10526315789474,186.0,45.32666666666667,19.0,182.42857142857142,187.5,45.321,14.0,269.3,246.0,57.803333333333335,10.0,158.33333333333334,186.0,64.502,12.0,142.06666666666666,223.0,75.68,15.0,88.0,223.0,79.8,13.0,267.3333333333333,296.0,79.364,12.0,296.1,282.5,76.98,10.0,184.25,201.0,72.8,12.0,-1.6666666666666667,109.5,68.51,6.0,-3.0,-32.0,61.78,3.0
5,4,4_5,1.0,,,,,145.05454545454546,132.0,78.59766666666667,55.0,162.84,136.0,69.667,25.0,177.83333333333334,141.0,64.5,12.0,208.10526315789474,186.0,61.586666666666666,19.0,182.42857142857142,187.5,63.179,14.0,269.3,246.0,77.56666666666666,10.0,158.33333333333334,186.0,82.774,12.0,142.06666666666666,223.0,83.4675,15.0,88.0,223.0,82.24,13.0,267.3333333333333,296.0,80.288,12.0,296.1,282.5,77.36,10.0,184.25,201.0,76.0,12.0,-1.6666666666666667,109.5,76.01,6.0,-3.0,-32.0,74.08,3.0
4,5,4_5,2.0,,,,,,,,,137.025,128.0,82.9165,40.0,124.07407407407408,132.0,78.95733333333334,27.0,87.61538461538461,55.0,74.65666666666667,13.0,157.4,112.0,60.678,10.0,178.0,170.5,43.056666666666665,10.0,166.16666666666666,170.5,49.542,12.0,241.5,246.0,50.955,4.0,287.8333333333333,261.5,64.33333333333333,6.0,133.55555555555554,140.0,76.956,9.0,44.888888888888886,223.0,79.86,9.0,101.16666666666667,183.5,80.01333333333334,6.0,370.1666666666667,311.0,74.28,6.0,,,67.18,0.0
5,4,4_5,2.0,,,,,,,,,137.025,128.0,80.6415,40.0,124.07407407407408,132.0,73.00666666666666,27.0,87.61538461538461,55.0,72.49416666666667,13.0,157.4,112.0,64.824,10.0,178.0,170.5,60.376666666666665,10.0,166.16666666666666,170.5,62.506,12.0,241.5,246.0,74.8825,4.0,287.8333333333333,261.5,82.62333333333333,6.0,133.55555555555554,140.0,83.548,9.0,44.888888888888886,223.0,84.0,9.0,101.16666666666667,183.5,80.48,6.0,370.1666666666667,311.0,76.0,6.0,,,76.02,0.0
4,5,4_5,3.0,,,,,,,,,,,,,165.28571428571428,136.5,85.16933333333333,28.0,193.95,152.0,79.39083333333333,20.0,166.46666666666667,191.0,80.357,15.0,241.55555555555554,186.0,47.596666666666664,9.0,280.0,280.0,41.1,2.0,178.0,170.5,45.1,10.0,241.5,246.0,51.27333333333333,4.0,232.66666666666666,232.0,52.048,3.0,287.8333333333333,261.5,71.5,6.0,76.71428571428571,228.0,79.58666666666667,7.0,185.0,257.0,79.68,4.0,-1.6666666666666667,109.5,69.84,6.0
5,4,4_5,3.0,,,,,,,,,,,,,165.28571428571428,136.5,84.18866666666666,28.0,193.95,152.0,72.89166666666667,20.0,166.46666666666667,191.0,74.51,15.0,241.55555555555554,186.0,62.79666666666667,9.0,280.0,280.0,63.852,2.0,178.0,170.5,59.0,10.0,241.5,246.0,72.51,4.0,232.66666666666666,232.0,82.0,3.0,287.8333333333333,261.5,82.935,6.0,76.71428571428571,228.0,84.0,7.0,185.0,257.0,78.72,4.0,-1.6666666666666667,109.5,76.0,6.0
4,5,4_5,4.0,,,,,,,,,,,,,,,,,116.8,93.0,85.5075,25.0,193.78947368421052,132.0,80.853,19.0,-13.333333333333334,-28.0,68.79333333333334,3.0,230.57142857142858,146.0,50.232,7.0,280.0,280.0,42.375,2.0,178.0,170.5,48.13333333333333,10.0,179.8,152.0,52.36,5.0,376.0,376.0,50.255,2.0,356.2,383.0,75.59333333333333,5.0,196.6,228.0,80.72,5.0,245.33333333333334,183.0,72.54,3.0
5,4,4_5,4.0,,,,,,,,,,,,,,,,,116.8,93.0,84.89666666666666,25.0,193.78947368421052,132.0,76.407,19.0,-13.333333333333334,-28.0,67.57666666666667,3.0,230.57142857142858,146.0,60.992,7.0,280.0,280.0,65.065,2.0,178.0,170.5,59.0,10.0,179.8,152.0,66.012,5.0,376.0,376.0,82.0,2.0,356.2,383.0,83.24666666666667,5.0,196.6,228.0,84.0,5.0,245.33333333333334,183.0,76.0,3.0
