subID,partnerID,dyad,bin_num,gap_length_mean_1,gap_length_median_1,connection_1,num_turns_1,gap_length_mean_2,gap_length_median_2,connection_2,num_turns_2,gap_length_mean_3,gap_length_median_3,connection_3,num_turns_3,gap_length_mean_4,gap_length_median_4,connection_4,num_turns_4,gap_length_mean_5,gap_length_median_5,connection_5,num_turns_5,gap_length_mean_6,gap_length_median_6,connection_6,num_turns_6,gap_length_mean_10,gap_length_median_10,connection_10,num_turns_10,gap_length_mean_12,gap_length_median_12,connection_12,num_turns_12,gap_length_mean_15,gap_length_median_15,connection_15,num_turns_15,gap_length_mean_20,gap_length_median_20,connection_20,num_turns_20,gap_length_mean_24,gap_length_median_24,connection_24,num_turns_24,gap_length_mean_30,gap_length_median_30,connection_30,num_turns_30,gap_length_mean_40,gap_length_median_40,connection_40,num_turns_40,gap_length_mean_60,gap_length_median_60,connection_60,num_turns_60,gap_length_mean_120,gap_length_median_120,connection_120,num_turns_120
63,61,63_61,0.0,212.86915887850466,209.0,27.724666666666668,107.0,268.6333333333333,226.0,28.451333333333334,60.0,200.31372549019608,218.0,34.335,51.0,201.53333333333333,218.0,34.025333333333336,45.0,243.6153846153846,218.0,33.07833333333333,39.0,249.0,200.0,33.356,31.0,186.71428571428572,191.0,27.44333333333333,21.0,152.66666666666666,195.5,22.932,18.0,152.66666666666666,195.5,16.165,18.0,237.5625,228.5,10.39,16.0,196.07142857142858,195.5,8.868,14.0,196.07142857142858,195.5,6.585,14.0,239.63636363636363,200.0,3.6266666666666665,11.0,207.14285714285714,257.0,0.44,7.0,99.25,128.5,0.0,4.0
61,63,63_61,0.0,212.86915887850466,209.0,48.71,107.0,268.6333333333333,226.0,49.36266666666667,60.0,200.31372549019608,218.0,48.185,51.0,201.53333333333333,218.0,51.22,45.0,243.6153846153846,218.0,55.275,39.0,249.0,200.0,59.33,31.0,186.71428571428572,191.0,60.64666666666667,21.0,152.66666666666666,195.5,59.576,18.0,152.66666666666666,195.5,57.97,18.0,237.5625,228.5,56.25,16.0,196.07142857142858,195.5,54.9,14.0,196.07142857142858,195.5,52.875,14.0,239.63636363636363,200.0,51.0,11.0,207.14285714285714,257.0,51.0,7.0,99.25,128.5,51.0,4.0
63,61,63_61,1.0,,,,,141.68085106382978,185.0,26.998,47.0,337.94117647058823,170.0,19.8665,17.0,469.93333333333334,333.0,22.877333333333333,15.0,62.285714285714285,212.0,31.545,14.0,124.85,226.0,35.314,20.0,310.0,270.0,38.71333333333333,18.0,382.38461538461536,374.0,43.78,13.0,457.0,468.0,49.6075,7.0,24.0,-43.0,44.49666666666667,5.0,0.75,-43.5,36.996,4.0,0.75,-43.5,25.745,4.0,233.0,289.0,17.153333333333332,5.0,185.0,191.0,12.73,7.0,351.0,409.0,0.88,3.0
61,63,63_61,1.0,,,,,141.68085106382978,185.0,48.05733333333333,47.0,337.94117647058823,170.0,59.1495,17.0,469.93333333333334,333.0,47.50533333333333,15.0,62.285714285714285,212.0,39.36666666666667,14.0,124.85,226.0,37.04,20.0,310.0,270.0,49.903333333333336,18.0,382.38461538461536,374.0,59.084,13.0,457.0,468.0,66.0,7.0,24.0,-43.0,65.04333333333334,5.0,0.75,-43.5,64.252,4.0,0.75,-43.5,63.065,4.0,233.0,289.0,61.5,5.0,185.0,191.0,54.75,7.0,351.0,409.0,51.0,3.0
63,61,63_61,2.0,,,,,,,,,174.76923076923077,202.0,28.9725,39.0,132.5,259.5,23.826666666666668,14.0,646.3,776.5,15.775833333333333,10.0,655.7777777777778,333.0,16.684,9.0,59.583333333333336,253.5,37.145,12.0,96.42857142857143,218.0,35.364,14.0,253.85714285714286,218.0,33.4625,14.0,506.7142857142857,468.0,44.96666666666667,7.0,457.0,468.0,49.572,7.0,391.0,170.0,50.0,3.0,-526.5,-526.5,38.99333333333333,2.0,528.0,528.0,18.0,2.0,296.5,174.0,10.0,4.0
61,63,63_61,2.0,,,,,,,,,174.76923076923077,202.0,38.7955,39.0,132.5,259.5,68.81333333333333,14.0,646.3,776.5,60.6425,10.0,655.7777777777778,333.0,51.718,9.0,59.583333333333336,253.5,35.733333333333334,12.0,96.42857142857143,218.0,35.0,14.0,253.85714285714286,218.0,41.855,14.0,506.7142857142857,468.0,64.23666666666666,7.0,457.0,468.0,66.0,7.0,391.0,170.0,66.0,3.0,-526.5,-526.5,64.08666666666667,2.0,528.0,528.0,63.0,2.0,296.5,174.0,51.0,4.0
63,61,63_61,3.0,,,,,,,,,,,,,145.57575757575756,185.0,30.169333333333334,33.0,71.91304347826087,175.0,26.273333333333333,23.0,-19.625,-5.0,23.049,8.0,78.5,78.5,25.945,2.0,191.16666666666666,289.5,35.264,6.0,-137.625,-3.5,37.8325,8.0,184.8181818181818,189.0,32.46,11.0,295.3333333333333,253.0,37.988,6.0,506.5,501.5,49.215,4.0,391.0,170.0,50.0,3.0,-526.5,-526.5,33.49,2.0,36.333333333333336,191.0,15.46,3.0
61,63,63_61,3.0,,,,,,,,,,,,,145.57575757575756,185.0,27.301333333333332,33.0,71.91304347826087,175.0,70.69916666666667,23.0,-19.625,-5.0,66.581,8.0,78.5,78.5,43.0,2.0,191.16666666666666,289.5,39.08,6.0,-137.625,-3.5,35.0,8.0,184.8181818181818,189.0,35.57,11.0,295.3333333333333,253.0,52.168,6.0,506.5,501.5,66.0,4.0,391.0,170.0,66.0,3.0,-526.5,-526.5,63.13,2.0,36.333333333333336,191.0,58.5,3.0
63,61,63_61,4.0,,,,,,,,,,,,,,,,,204.14285714285714,209.0,31.950833333333332,21.0,151.68421052631578,185.0,24.481,19.0,820.7142857142857,1046.0,13.01,7.0,342.6,157.0,19.156,5.0,454.0,370.0,34.6075,4.0,-72.0,231.5,37.81333333333333,6.0,222.75,218.0,32.036,8.0,295.3333333333333,253.0,35.235,6.0,506.5,501.5,49.28666666666667,4.0,,,50.0,0.0,,,18.0,0.0
61,63,63_61,4.0,,,,,,,,,,,,,,,,,204.14285714285714,209.0,17.566666666666666,21.0,151.68421052631578,185.0,67.374,19.0,820.7142857142857,1046.0,57.53,7.0,342.6,157.0,43.686,5.0,454.0,370.0,40.1,4.0,-72.0,231.5,35.0,6.0,222.75,218.0,35.0,8.0,295.3333333333333,253.0,48.71,6.0,506.5,501.5,66.0,4.0,,,66.0,0.0,,,63.0,0.0
