subID,partnerID,dyad,bin_num,gap_length_mean_1,gap_length_median_1,connection_1,num_turns_1,gap_length_mean_2,gap_length_median_2,connection_2,num_turns_2,gap_length_mean_3,gap_length_median_3,connection_3,num_turns_3,gap_length_mean_4,gap_length_median_4,connection_4,num_turns_4,gap_length_mean_5,gap_length_median_5,connection_5,num_turns_5,gap_length_mean_6,gap_length_median_6,connection_6,num_turns_6,gap_length_mean_10,gap_length_median_10,connection_10,num_turns_10,gap_length_mean_12,gap_length_median_12,connection_12,num_turns_12,gap_length_mean_15,gap_length_median_15,connection_15,num_turns_15,gap_length_mean_20,gap_length_median_20,connection_20,num_turns_20,gap_length_mean_24,gap_length_median_24,connection_24,num_turns_24,gap_length_mean_30,gap_length_median_30,connection_30,num_turns_30,gap_length_mean_40,gap_length_median_40,connection_40,num_turns_40,gap_length_mean_60,gap_length_median_60,connection_60,num_turns_60,gap_length_mean_120,gap_length_median_120,connection_120,num_turns_120
102,109,102_109,0.0,184.12244897959184,154.5,64.9835,98.0,155.96153846153845,136.5,61.413666666666664,52.0,190.70454545454547,162.5,59.305,44.0,209.27777777777777,166.5,57.57,36.0,258.89285714285717,175.5,56.778333333333336,28.0,290.0,199.0,55.334,24.0,271.75,168.0,48.41,20.0,272.0,168.0,45.092,18.0,275.0,159.0,40.115,17.0,388.1666666666667,340.0,35.71333333333333,12.0,388.1666666666667,340.0,33.056,12.0,363.54545454545456,270.0,29.07,11.0,299.0,270.0,22.426666666666666,9.0,340.0,340.0,8.99,6.0,276.6666666666667,410.0,0.5,3.0
109,102,102_109,0.0,184.12244897959184,154.5,89.63216666666666,98.0,155.96153846153845,136.5,86.111,52.0,190.70454545454547,162.5,82.535,44.0,209.27777777777777,166.5,80.50533333333334,36.0,258.89285714285717,175.5,79.63166666666666,28.0,290.0,199.0,78.758,24.0,271.75,168.0,75.26333333333334,20.0,272.0,168.0,73.516,18.0,275.0,159.0,70.895,17.0,388.1666666666667,340.0,66.87333333333333,12.0,388.1666666666667,340.0,64.448,12.0,363.54545454545456,270.0,60.81,11.0,299.0,270.0,54.75333333333333,9.0,340.0,340.0,52.0,6.0,276.6666666666667,410.0,52.0,3.0
102,109,102_109,1.0,,,,,215.95652173913044,216.0,68.55333333333333,46.0,153.0,112.0,68.9265,31.0,36.0,32.0,65.25733333333334,16.0,13.65,29.0,63.049166666666665,20.0,71.55,68.0,63.276,20.0,226.75,236.5,65.14666666666666,8.0,344.0,317.0,65.576,6.0,243.8,221.0,65.0,5.0,97.125,89.0,61.10666666666667,8.0,39.666666666666664,60.0,57.128,6.0,112.66666666666667,60.0,51.16,6.0,655.6666666666666,659.0,49.0,3.0,391.8,177.0,49.15,5.0,403.3333333333333,270.0,17.48,3.0
109,102,102_109,1.0,,,,,215.95652173913044,216.0,93.15333333333334,46.0,153.0,112.0,94.1375,31.0,36.0,32.0,91.71666666666667,16.0,13.65,29.0,88.64583333333333,20.0,71.55,68.0,86.312,20.0,226.75,236.5,84.0,8.0,344.0,317.0,84.0,6.0,243.8,221.0,84.0,5.0,97.125,89.0,83.65333333333334,8.0,39.666666666666664,60.0,82.584,6.0,112.66666666666667,60.0,80.98,6.0,655.6666666666666,659.0,78.99333333333334,3.0,391.8,177.0,69.62,5.0,403.3333333333333,270.0,52.0,3.0
102,109,102_109,2.0,,,,,,,,,213.47826086956522,209.0,66.719,23.0,246.89285714285714,300.0,71.708,28.0,249.4375,301.5,70.225,16.0,-35.125,32.0,65.631,8.0,15.6,15.5,62.67,10.0,47.833333333333336,68.0,62.042,12.0,225.83333333333334,236.5,65.22,6.0,381.25,317.0,65.18666666666667,4.0,249.5,229.5,65.0,4.0,253.33333333333334,221.0,65.0,3.0,39.666666666666664,60.0,57.21333333333333,6.0,659.0,659.0,49.0,1.0,217.0,120.0,49.3,3.0
109,102,102_109,2.0,,,,,,,,,213.47826086956522,209.0,92.224,23.0,246.89285714285714,300.0,95.67466666666667,28.0,249.4375,301.5,94.0,16.0,-35.125,32.0,93.263,8.0,15.6,15.5,85.85333333333334,10.0,47.833333333333336,68.0,84.0,12.0,225.83333333333334,236.5,84.0,6.0,381.25,317.0,84.0,4.0,249.5,229.5,84.0,4.0,253.33333333333334,221.0,84.0,3.0,39.666666666666664,60.0,83.30666666666667,6.0,659.0,659.0,79.0,1.0,217.0,120.0,60.26,3.0
102,109,102_109,3.0,,,,,,,,,,,,,167.83333333333334,173.5,65.39866666666667,18.0,199.16666666666666,159.0,69.86666666666666,18.0,218.43478260869566,274.0,72.222,23.0,11.7,101.5,63.428333333333335,10.0,107.125,83.0,64.51,8.0,15.6,15.5,61.3025,10.0,72.25,138.5,65.10666666666667,4.0,533.0,533.0,66.152,2.0,229.5,229.5,65.0,2.0,269.5,269.5,65.0,2.0,3.4,10.0,53.32,5.0,654.0,654.0,49.0,2.0
109,102,102_109,3.0,,,,,,,,,,,,,167.83333333333334,173.5,90.632,18.0,199.16666666666666,159.0,96.84333333333333,18.0,218.43478260869566,274.0,95.012,23.0,11.7,101.5,91.43833333333333,10.0,107.125,83.0,88.624,8.0,15.6,15.5,84.0,10.0,72.25,138.5,84.0,4.0,533.0,533.0,84.0,2.0,229.5,229.5,84.0,2.0,269.5,269.5,84.0,2.0,3.4,10.0,82.96,5.0,654.0,654.0,78.98,2.0
102,109,102_109,4.0,,,,,,,,,,,,,,,,,184.125,180.5,64.99833333333333,16.0,287.9166666666667,152.0,68.84,12.0,147.0,55.0,67.41333333333333,4.0,-24.0,32.0,62.966,6.0,164.33333333333334,176.0,64.8875,6.0,35.625,29.0,60.736666666666665,8.0,26.166666666666668,68.0,63.4,6.0,533.0,533.0,66.44,2.0,229.5,229.5,65.0,2.0,221.0,221.0,65.0,1.0,659.0,659.0,49.0,1.0
109,102,102_109,4.0,,,,,,,,,,,,,,,,,184.125,180.5,89.04,16.0,287.9166666666667,152.0,97.0,12.0,147.0,55.0,94.0,4.0,-24.0,32.0,92.526,6.0,164.33333333333334,176.0,89.78,6.0,35.625,29.0,84.0,8.0,26.166666666666668,68.0,84.0,6.0,533.0,533.0,84.0,2.0,229.5,229.5,84.0,2.0,221.0,221.0,84.0,1.0,659.0,659.0,79.0,1.0
102,109,102_109,5.0,,,,,,,,,,,,,,,,,,,,,132.27272727272728,223.0,64.598,11.0,283.5833333333333,331.5,73.03666666666666,12.0,-68.5,-68.5,68.296,2.0,-217.25,32.0,62.9575,4.0,-64.5,-64.5,64.60333333333334,2.0,69.5,121.0,60.684,6.0,72.25,138.5,64.0,4.0,533.0,533.0,65.37333333333333,2.0,269.5,269.5,65.0,2.0,,,49.0,0.0
109,102,102_109,5.0,,,,,,,,,,,,,,,,,,,,,132.27272727272728,223.0,87.448,11.0,283.5833333333333,331.5,94.0,12.0,-68.5,-68.5,94.0,2.0,-217.25,32.0,92.1575,4.0,-64.5,-64.5,87.70666666666666,2.0,69.5,121.0,84.0,6.0,72.25,138.5,84.0,4.0,533.0,533.0,84.0,2.0,269.5,269.5,84.0,2.0,,,79.0,0.0
102,109,102_109,6.0,,,,,,,,,,,,,,,,,,,,,,,,,147.36363636363637,112.0,71.0,11.0,195.8,301.5,73.746,10.0,362.5,362.5,64.2175,2.0,164.33333333333334,176.0,63.85666666666667,6.0,-64.5,-64.5,64.324,2.0,37.142857142857146,33.0,61.0,7.0,,,67.21333333333334,0.0,229.5,229.5,65.0,2.0,59.333333333333336,10.0,49.0,3.0
109,102,102_109,6.0,,,,,,,,,,,,,,,,,,,,,,,,,147.36363636363637,112.0,96.68666666666667,11.0,195.8,301.5,94.0,10.0,362.5,362.5,94.0,2.0,164.33333333333334,176.0,90.0,6.0,-64.5,-64.5,87.248,2.0,37.142857142857146,33.0,84.0,7.0,,,84.0,0.0,229.5,229.5,84.0,2.0,59.333333333333336,10.0,81.92,3.0
102,109,102_109,7.0,,,,,,,,,,,,,,,,,,,,,,,,,280.57142857142856,209.0,68.73333333333333,7.0,235.84615384615384,206.0,70.698,13.0,201.0,110.0,74.4025,5.0,-217.25,32.0,63.0,4.0,164.33333333333334,176.0,64.696,6.0,-34.666666666666664,-10.0,61.605,3.0,72.25,138.5,63.0,4.0,,,65.0,0.0,-80.5,-80.5,57.64,2.0
109,102,102_109,7.0,,,,,,,,,,,,,,,,,,,,,,,,,280.57142857142856,209.0,97.0,7.0,235.84615384615384,206.0,96.024,13.0,201.0,110.0,94.0,5.0,-217.25,32.0,92.87666666666667,4.0,164.33333333333334,176.0,90.0,6.0,-34.666666666666664,-10.0,84.0,3.0,72.25,138.5,84.0,4.0,,,84.0,0.0,-80.5,-80.5,84.0,2.0
102,109,102_109,8.0,,,,,,,,,,,,,,,,,,,,,,,,,336.0,261.0,66.26166666666667,10.0,377.8,545.0,70.68,5.0,251.22222222222223,329.0,72.055,9.0,362.5,362.5,62.626666666666665,2.0,-536.0,-536.0,62.932,2.0,,,65.405,0.0,-0.3333333333333333,19.5,61.0,6.0,533.0,533.0,65.56,2.0,221.0,221.0,65.0,1.0
109,102,102_109,8.0,,,,,,,,,,,,,,,,,,,,,,,,,336.0,261.0,94.08,10.0,377.8,545.0,97.0,5.0,251.22222222222223,329.0,94.0,9.0,362.5,362.5,94.0,2.0,-536.0,-536.0,91.052,2.0,,,89.56,0.0,-0.3333333333333333,19.5,84.0,6.0,533.0,533.0,84.0,2.0,221.0,221.0,84.0,1.0
102,109,102_109,9.0,,,,,,,,,,,,,,,,,,,,,,,,,-69.0,69.0,63.735,6.0,223.71428571428572,95.0,67.0,7.0,147.36363636363637,112.0,71.0,11.0,-68.5,-68.5,72.2,2.0,232.0,101.5,63.0,4.0,164.33333333333334,176.0,64.37,6.0,143.5,143.5,60.473333333333336,2.0,,,67.32,0.0,,,65.0,0.0
